id,set,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
54,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 47",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
55,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 48",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
56,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 49",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
57,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 50",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
58,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 51",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
59,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 52",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
60,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 53",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
61,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 54",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
62,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 55",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
63,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 56",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
64,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 57",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
65,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 58",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
66,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 59",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
67,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 60",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
68,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 61",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
69,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 62",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
70,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 63",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
71,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 64",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
72,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 65",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
73,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 66",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
74,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 67",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
75,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 68",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
76,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 69",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
77,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 70",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
78,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 71",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
79,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 72",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
80,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 73",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
81,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 74",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
82,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 75",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
83,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 76",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
84,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 77",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
85,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 78",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
86,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 79",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
87,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 80",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
88,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 81",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
89,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 82",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
90,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 83",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
91,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 84",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
92,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 85",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
93,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 86",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
94,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 87",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
95,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 88",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
96,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 89",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
97,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 90",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
98,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 91",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
99,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 92",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
100,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 93",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
101,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 94",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
102,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 95",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
103,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 96",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
104,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 97",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
105,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 98",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
106,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 99",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
107,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 100",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
108,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 101",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
109,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 102",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
110,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 103",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
111,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 104",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
112,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 105",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
113,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 106",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
114,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 107",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
115,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 108",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
116,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 109",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
117,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 110",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
118,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 111",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
119,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 112",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
120,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 113",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
121,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 114",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
122,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 115",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
123,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 116",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
124,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 117",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
125,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 118",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
126,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 119",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
127,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 120",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
7,"English Vocabulary: Daily Routines",gap_fill,"Daily Routine Verbs",Beginner,,,"I usually ______ (wake up) at 6:30 AM.",,,,,"wake up",,,,,,,
248,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: should have",Advanced,,"past regret - something that would have been good but didn't happen",,,,,,,,,,,,,
249,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: could have",Advanced,,"past possibility that didn't happen",,,,,,,,,,,,,
250,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: might have",Advanced,,"past weak possibility",,,,,,,,,,,,,
251,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: must have",Advanced,,"strong past deduction (95% certain)",,,,,,,,,,,,,
252,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: would have",Advanced,,"past unreal conditional",,,,,,,,,,,,,
253,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: shouldn't have",Advanced,,"past regret about a bad action",,,,,,,,,,,,,
254,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: couldn't have",Advanced,,"past impossibility",,,,,,,,,,,,,
255,"English Vocabulary: Daily Routines",formula_table,"Modal Perfect: needn't have",Advanced,,"unnecessary past action (but was done)",,,,,,,,,,,,,
256,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 9",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
257,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 10",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
258,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 11",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
259,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 12",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
260,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 13",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
261,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 14",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
262,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 15",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
263,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 16",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
264,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 17",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
265,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 18",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
266,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 19",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
267,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 20",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
268,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 21",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
269,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 22",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
270,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 23",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
271,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 24",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
272,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 25",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
273,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 26",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
274,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 27",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
275,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 28",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
276,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 29",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
277,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 30",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
278,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 31",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
279,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 32",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
280,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 33",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
281,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 34",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
282,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 35",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
283,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 36",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
284,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 37",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
285,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 38",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
286,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 39",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
287,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 40",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
288,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 41",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
289,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 42",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
290,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 43",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
291,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 44",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
292,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 45",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
293,"English Vocabulary: Daily Routines",gap_fill,"Modal Perfect Practice 46",Advanced,,,"I _____ (study) more for the test.",,,,,"should have studied",,,,,,,
