id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
632,"Verbs - Present & Past Tenses",34,deep_dive,"FRY /frái/ FRITAR",Intermediate,,"To cook in hot oil \br regular \br fry; fried; fried",,,,,,,,"I fry eggs. \br He fried the fish. \br The onions have been fried.","I fry eggs. \br He fried the fish. \br The onions have been fried.",,,,
633,"Verbs - Present & Past Tenses",34,deep_dive,"APPLY /aplái/ CANDIDATAR-SE",Intermediate,,"To make a formal request \br regular \br apply; applied; applied",,,,,,,,"I apply for jobs. \br She applied yesterday. \br He has applied three times.","I apply for jobs. \br She applied yesterday. \br He has applied three times.",,,,
634,"Verbs - Present & Past Tenses",34,deep_dive,"REPLY /riplái/ RESPONDER",Beginner,,"To answer \br regular \br reply; replied; replied",,,,,,,,"I reply to emails. \br He replied quickly. \br She hasn't replied yet.","I reply to emails. \br He replied quickly. \br She hasn't replied yet.",,,,
635,"Verbs - Present & Past Tenses",34,deep_dive,"DENY /dinái/ NEGAR",Intermediate,,"To say something is not true \br regular \br deny; denied; denied",,,,,,,,"I deny the rumour. \br She denied everything. \br The request has been denied.","I deny the rumour. \br She denied everything. \br The request has been denied.",,,,
636,"Verbs - Present & Past Tenses",34,deep_dive,"SPY /spái/ ESPIAR",Intermediate,,"To watch secretly \br regular \br spy; spied; spied",,,,,,,,"The cat spies on birds. \br She spied on her brother. \br Someone has been spied on.","The cat spies on birds. \br She spied on her brother. \br Someone has been spied on.",,,,
637,"Verbs - Present & Past Tenses",34,deep_dive,"RELY /rilái/ CONFIAR",Intermediate,,"To depend on \br regular \br rely; relied; relied",,,,,,,,"I rely on you. \br He relied on the map. \br She has always relied on luck.","I rely on you. \br He relied on the map. \br She has always relied on luck.",,,,
638,"Verbs - Present & Past Tenses",34,deep_dive,"SUPPLY /soplái/ FORNECER",Intermediate,,"To provide something needed \br regular \br supply; supplied; supplied",,,,,,,,"They supply water. \br The company supplied chairs. \br The goods have been supplied.","They supply water. \br The company supplied chairs. \br The goods have been supplied.",,,,
639,"Verbs - Present & Past Tenses",34,deep_dive,"WORRY /uôri/ PREOCUPAR-SE",Beginner,,"To feel anxious about something \br regular \br worry; worried; worried",,,,,,,,"I worry about exams. \br He worried all night. \br She has worried enough.","I worry about exams. \br He worried all night. \br She has worried enough.",,,,
640,"Verbs - Present & Past Tenses",34,deep_dive,"MARRY /méri/ CASAR-SE",Beginner,,"To become husband and wife \br regular \br marry; married; married",,,,,,,,"They marry in spring. \br She married Tom. \br They have been married for ten years.","They marry in spring. \br She married Tom. \br They have been married for ten years.",,,,
641,"Verbs - Present & Past Tenses",34,deep_dive,"HURRY /hôri/ APRESSAR-SE",Intermediate,,"To move or do something quickly \br regular \br hurry; hurried; hurried",,,,,,,,"I hurry to school. \br He hurried out. \br She has hurried through breakfast.","I hurry to school. \br He hurried out. \br She has hurried through breakfast.",,,,
642,"Verbs - Present & Past Tenses",34,deep_dive,"COPY /kópi/ COPIAR",Beginner,,"To replicate something \br regular \br copy; copied; copied",,,,,,,,"I copy the notes. \br He copied my answer. \br The file has been copied.","I copy the notes. \br He copied my answer. \br The file has been copied.",,,,
643,"Verbs - Present & Past Tenses",34,deep_dive,"PLAY /plêi/ JOGAR/ TOCAR",Beginner,,"To take part in a game or produce music \br regular \br play; played; played",,,,,,,,"I play tennis. \br We played cards. \br She has played piano since she was six.","I play tennis. \br We played cards. \br She has played piano since she was six.",,,,
644,"Verbs - Present & Past Tenses",34,deep_dive,"ENJOY /indjói/ APROVEITAR",Beginner,,"To take pleasure in \br regular \br enjoy; enjoyed; enjoyed",,,,,,,,"I enjoy music. \br He enjoyed the party. \br They have always enjoyed hiking.","I enjoy music. \br He enjoyed the party. \br They have always enjoyed hiking.",,,,
645,"Verbs - Present & Past Tenses",34,deep_dive,"STAY /stêi/ FICAR",Beginner,,"To remain in a place \br regular \br stay; stayed; stayed",,,,,,,,"I stay at home. \br She stayed with a friend. \br We have stayed here before.","I stay at home. \br She stayed with a friend. \br We have stayed here before.",,,,
646,"Verbs - Present & Past Tenses",34,deep_dive,"DESTROY /distrói/ DESTRUIR",Intermediate,,"To damage so badly it no longer exists \br regular \br destroy; destroyed; destroyed",,,,,,,,"Fire destroys forests. \br The storm destroyed the house. \br The letter has been destroyed.","Fire destroys forests. \br The storm destroyed the house. \br The letter has been destroyed.",,,,
647,"Verbs - Present & Past Tenses",34,deep_dive,"OBEY /obêi/ OBEDECER",Intermediate,,"To follow orders \br regular \br obey; obeyed; obeyed",,,,,,,,"You must obey the law. \br The dog obeyed. \br The rules have been obeyed.","You must obey the law. \br The dog obeyed. \br The rules have been obeyed.",,,,
648,"Verbs - Present & Past Tenses",34,deep_dive,"ANNOY /anói/ IRRITAR",Intermediate,,"To make someone slightly angry \br regular \br annoy; annoyed; annoyed",,,,,,,,"Loud noise annoys me. \br He annoyed his sister. \br I have never been so annoyed.","Loud noise annoys me. \br He annoyed his sister. \br I have never been so annoyed.",,,,
649,"Verbs - Present & Past Tenses",34,deep_dive,"DELAY /dilêi/ ATRASAR",Intermediate,,"To make something happen later \br regular \br delay; delayed; delayed",,,,,,,,"We delay the meeting. \br The flight was delayed. \br The train has been delayed again.","We delay the meeting. \br The flight was delayed. \br The train has been delayed again.",,,,
650,"Verbs - Present & Past Tenses",34,deep_dive,"DECAY /dikêi/ DECAIR",Intermediate,,"To rot or break down \br regular \br decay; decayed; decayed",,,,,,,,"Teeth decay without care. \br The fruit decayed. \br The wood has decayed.","Teeth decay without care. \br The fruit decayed. \br The wood has decayed.",,,,
651,"Verbs - Present & Past Tenses",34,deep_dive,"BETRAY /bitrêi/ TRAIR",Intermediate,,"To be disloyal \br regular \br betray; betrayed; betrayed",,,,,,,,"She betrays no emotion. \br He betrayed his friend. \br I have never betrayed anyone.","She betrays no emotion. \br He betrayed his friend. \br I have never betrayed anyone.",,,,
652,"Verbs - Present & Past Tenses",34,deep_dive,"EMPLOY /emplói/ EMPREGAR",Intermediate,,"To pay someone to work \br regular \br employ; employed; employed",,,,,,,,"The firm employs ten people. \br They employed a new chef. \br She has been employed since 2020.","The firm employs ten people. \br They employed a new chef. \br She has been employed since 2020.",,,,
653,"Verbs - Present & Past Tenses",34,deep_dive,"SURVEY /sûrvêi/ INSPECIONAR",Intermediate,,"To examine or look at everything \br regular \br survey; surveyed; surveyed",,,,,,,,"We survey the land. \br They surveyed the damage. \br The area has been surveyed.","We survey the land. \br They surveyed the damage. \br The area has been surveyed.",,,,
654,"Verbs - Present & Past Tenses",34,deep_dive,"PRAY /prêi/ REZAR",Intermediate,,"To speak to God \br regular \br pray; prayed; prayed",,,,,,,,"I pray every evening. \br She prayed for peace. \br They have prayed together.","I pray every evening. \br She prayed for peace. \br They have prayed together.",,,,
655,"Verbs - Present & Past Tenses",34,deep_dive,"SWAY /suêi/ BALANÇAR",Intermediate,,"To move slowly side to side \br regular \br sway; swayed; swayed",,,,,,,,"The trees sway in the wind. \br The dancer swayed. \br He has never swayed from his beliefs.","The trees sway in the wind. \br The dancer swayed. \br He has never swayed from his beliefs.",,,,
656,"Verbs - Present & Past Tenses",34,deep_dive,"SPRAY /sprêi/ BORRIFAR",Intermediate,,"To send liquid in small drops \br regular \br spray; sprayed; sprayed",,,,,,,,"I spray water on the plants. \br He sprayed paint on the wall. \br The crops have been sprayed.","I spray water on the plants. \br He sprayed paint on the wall. \br The crops have been sprayed.",,,,
657,"Verbs - Present & Past Tenses",34,deep_dive,"CONVEY /konvêi/ TRANSMITIR",Intermediate,,"To communicate an idea or feeling \br regular \br convey; conveyed; conveyed",,,,,,,,"Words convey feelings. \br She conveyed her thanks. \br The message has been conveyed.","Words convey feelings. \br She conveyed her thanks. \br The message has been conveyed.",,,,
658,"Verbs - Present & Past Tenses",34,deep_dive,"STOP /stóp/ PARAR",Beginner,,"To cease movement \br regular \br stop; stopped; stopped",,,,,,,,"I stop at the red light. \br He stopped the car. \br The game has been stopped.","I stop at the red light. \br He stopped the car. \br The game has been stopped.",,,,
659,"Verbs - Present & Past Tenses",34,deep_dive,"PLAN /plén/ PLANEJAR",Beginner,,"To arrange in advance \br regular \br plan; planned; planned",,,,,,,,"I plan my week. \br She planned a trip. \br Everything has been planned.","I plan my week. \br She planned a trip. \br Everything has been planned.",,,,
660,"Verbs - Present & Past Tenses",34,deep_dive,"ROB /rób/ ROUBAR",Intermediate,,"To take property illegally \br regular \br rob; robbed; robbed",,,,,,,,"They rob banks. \br Someone robbed the shop. \br The bank has been robbed.","They rob banks. \br Someone robbed the shop. \br The bank has been robbed.",,,,
661,"Verbs - Present & Past Tenses",34,deep_dive,"BEG /bég/ IMPLORAR",Intermediate,,"To ask earnestly \br regular \br beg; begged; begged",,,,,,,,"The dog begs for food. \br He begged for help. \br She has never begged before.","The dog begs for food. \br He begged for help. \br She has never begged before.",,,,
662,"Verbs - Present & Past Tenses",34,deep_dive,"DROP /dróp/ DERRUBAR",Beginner,,"To let fall \br regular \br drop; dropped; dropped",,,,,,,,"I drop my keys. \br He dropped the glass. \br The phone has been dropped.","I drop my keys. \br He dropped the glass. \br The phone has been dropped.",,,,
663,"Verbs - Present & Past Tenses",34,deep_dive,"HOP /hóp/ PULAR (um pé)",Intermediate,,"To jump on one foot \br regular \br hop; hopped; hopped",,,,,,,,"Rabbits hop. \br She hopped over the puddle. \br He has hopped on one leg.","Rabbits hop. \br She hopped over the puddle. \br He has hopped on one leg.",,,,
664,"Verbs - Present & Past Tenses",34,deep_dive,"JOG /djóg/ CORRER (leve)",Beginner,,"To run slowly for exercise \br regular \br jog; jogged; jogged",,,,,,,,"I jog every morning. \br We jogged in the park. \br She has jogged five kilometres.","I jog every morning. \br We jogged in the park. \br She has jogged five kilometres.",,,,
665,"Verbs - Present & Past Tenses",34,deep_dive,"HUG /hôg/ ABRAÇAR",Beginner,,"To put arms around someone \br regular \br hug; hugged; hugged",,,,,,,,"I hug my mum. \br He hugged his friend. \br The child has been hugged.","I hug my mum. \br He hugged his friend. \br The child has been hugged.",,,,
666,"Verbs - Present & Past Tenses",34,deep_dive,"PAT /pét/ DAR TAPINHAS",Intermediate,,"To touch lightly with hand \br regular \br pat; patted; patted",,,,,,,,"She pats the dog. \br He patted my shoulder. \br The dog has been patted.","She pats the dog. \br He patted my shoulder. \br The dog has been patted.",,,,
667,"Verbs - Present & Past Tenses",34,deep_dive,"POP /póp/ ESTOURAR",Intermediate,,"To burst with a sound \br regular \br pop; popped; popped",,,,,,,,"Bubbles pop. \br The balloon popped. \br The corn has been popped.","Bubbles pop. \br The balloon popped. \br The corn has been popped.",,,,
668,"Verbs - Present & Past Tenses",34,deep_dive,"RUB /rôb/ ESFREGAR",Intermediate,,"To move hand back and forth \br regular \br rub; rubbed; rubbed",,,,,,,,"I rub my eyes. \br She rubbed her hands. \br The mark has been rubbed off.","I rub my eyes. \br She rubbed her hands. \br The mark has been rubbed off.",,,,
669,"Verbs - Present & Past Tenses",34,deep_dive,"SHIP /shíp/ ENVIAR (carga)",Intermediate,,"To send goods \br regular \br ship; shipped; shipped",,,,,,,,"They ship goods worldwide. \br The order was shipped yesterday. \br The package has been shipped.","They ship goods worldwide. \br The order was shipped yesterday. \br The package has been shipped.",,,,
670,"Verbs - Present & Past Tenses",34,deep_dive,"SLIP /slíp/ ESCORREGAR",Beginner,,"To slide accidentally \br regular \br slip; slipped; slipped",,,,,,,,"Don't slip on ice. \br He slipped and fell. \br She has slipped twice today.","Don't slip on ice. \br He slipped and fell. \br She has slipped twice today.",,,,
671,"Verbs - Present & Past Tenses",34,deep_dive,"TAG /tég/ MARCAR (etiqueta)",Intermediate,,"To attach a label or identify \br regular \br tag; tagged; tagged",,,,,,,,"They tag the animals. \br He tagged me in a photo. \br You have been tagged.","They tag the animals. \br He tagged me in a photo. \br You have been tagged.",,,,
672,"Verbs - Present & Past Tenses",34,deep_dive,"TIP /típ/ INCLINAR/ DAR GORJETA",Intermediate,,"To tilt or give extra money \br regular \br tip; tipped; tipped",,,,,,,,"I tip the waiter. \br She tipped the box. \br The chair has been tipped over.","I tip the waiter. \br She tipped the box. \br The chair has been tipped over.",,,,
673,"Verbs - Present & Past Tenses",34,deep_dive,"PANIC /pénik/ ENTRAR EM PÂNICO",Intermediate,,"To feel sudden fear \br regular \br panic; panicked; panicked",,,,,,,,"I panic in crowds. \br He panicked when the alarm rang. \br She has never panicked before.","I panic in crowds. \br He panicked when the alarm rang. \br She has never panicked before.",,,,
674,"Verbs - Present & Past Tenses",34,deep_dive,"PICNIC /píknik/ FAZER PIQUENIQUE",Beginner,,"To eat outdoors \br regular \br picnic; picnicked; picnicked",,,,,,,,"We often picnic by the lake. \br They picnicked on the beach. \br We have picnicked here many times.","We often picnic by the lake. \br They picnicked on the beach. \br We have picnicked here many times.",,,,
675,"Verbs - Present & Past Tenses",34,deep_dive,"MIMIC /mímik/ IMITAR",Intermediate,,"To copy someone's voice or behaviour \br regular \br mimic; mimicked; mimicked",,,,,,,,"Parrots mimic speech. \br She mimicked the teacher. \br Her accent has been mimicked.","Parrots mimic speech. \br She mimicked the teacher. \br Her accent has been mimicked.",,,,
676,"Verbs - Present & Past Tenses",34,deep_dive,"TRAFFIC /tréfik/ TRAFICAR",Advanced,,"To deal illegally \br regular \br traffic; trafficked; trafficked",,,,,,,,"They traffic stolen goods. \br The gang trafficked drugs. \br Endangered animals have been trafficked.","They traffic stolen goods. \br The gang trafficked drugs. \br Endangered animals have been trafficked.",,,,
677,"Verbs - Present & Past Tenses",34,deep_dive,"FROLIC /frólik/ BRINCAR (saltitar)",Intermediate,,"To play happily \br regular \br frolic; frolicked; frolicked",,,,,,,,"Lambs frolic in the field. \br The children frolicked in the snow. \br They have frolicked all afternoon.","Lambs frolic in the field. \br The children frolicked in the snow. \br They have frolicked all afternoon.",,,,
678,"Verbs - Present & Past Tenses",34,deep_dive,"TRAVEL /trével/ VIAJAR",Beginner,,"To go on a journey \br regular \br travel; travelled; travelled",,,,,,,,"I travel by train. \br She travelled to Italy. \br He has travelled a lot.","I travel by train. \br She travelled to Italy. \br He has travelled a lot.",,,,
679,"Verbs - Present & Past Tenses",34,deep_dive,"CANCEL /kénsel/ CANCELAR",Beginner,,"To call off \br regular \br cancel; cancelled; cancelled",,,,,,,,"They cancel the show. \br The flight was cancelled. \br The event has been cancelled.","They cancel the show. \br The flight was cancelled. \br The event has been cancelled.",,,,
680,"Verbs - Present & Past Tenses",34,deep_dive,"MARVEL /márvel/ MARAVILHAR-SE",Intermediate,,"To be filled with wonder \br regular \br marvel; marvelled; marvelled",,,,,,,,"We marvel at the view. \br He marvelled at the stars. \br She has marvelled at nature since childhood.","We marvel at the view. \br He marvelled at the stars. \br She has marvelled at nature since childhood.",,,,
681,"Verbs - Present & Past Tenses",34,deep_dive,"MODEL /módel/ MODELAR",Intermediate,,"To display or shape \br regular \br model; modelled; modelled",,,,,,,,"She models dresses. \br He modelled for a painter. \br The statue has been modelled in clay.","She models dresses. \br He modelled for a painter. \br The statue has been modelled in clay.",,,,
682,"Verbs - Present & Past Tenses",34,deep_dive,"SIGNAL /sígnel/ SINALIZAR",Intermediate,,"To give a sign \br regular \br signal; signalled; signalled",,,,,,,,"The guard signals to stop. \br The driver signalled left. \br A change has been signalled.","The guard signals to stop. \br The driver signalled left. \br A change has been signalled.",,,,
683,"Verbs - Present & Past Tenses",34,deep_dive,"DIAL /dáial/ DISCAR",Intermediate,,"To press numbers on a phone \br regular \br dial; dialled; dialled",,,,,,,,"I dial the number. \br He dialled the wrong extension. \br She has already dialled.","I dial the number. \br He dialled the wrong extension. \br She has already dialled.",,,,
684,"Verbs - Present & Past Tenses",34,deep_dive,"LABEL /lêibel/ ROTULAR",Intermediate,,"To attach a tag \br regular \br label; labelled; labelled",,,,,,,,"I label the boxes. \br She labelled the jars. \br All the files have been labelled.","I label the boxes. \br She labelled the jars. \br All the files have been labelled.",,,,
685,"Verbs - Present & Past Tenses",34,deep_dive,"FUEL /fiúel/ ABASTECER",Intermediate,,"To supply energy \br regular \br fuel; fuelled; fuelled",,,,,,,,"Petrol fuels the car. \br The news fuelled their anger. \br The fire has been fuelled by wind.","Petrol fuels the car. \br The news fuelled their anger. \br The fire has been fuelled by wind.",,,,
686,"Verbs - Present & Past Tenses",34,deep_dive,"BE /uóz",Beginner,,A1,,,,,,,,"To exist or have a quality \br irregular \br be; was/were; been","To exist or have a quality \br irregular \br be; was/were; been",,,,"I am a student. \br She was tired. \br I have never been to Paris."
687,"Verbs - Present & Past Tenses",34,deep_dive,"HAVE /héd/ TER",Beginner,,"To possess \br irregular \br have; had; had",,,,,,,,"I have a cat. \br He had a cold. \br She has had breakfast.","I have a cat. \br He had a cold. \br She has had breakfast.",,,,
688,"Verbs - Present & Past Tenses",34,deep_dive,"DO /díd/ FAZER",Beginner,,"To perform an action \br irregular \br do; did; done",,,,,,,,"I do my homework. \br He did the dishes. \br She has done a great job.","I do my homework. \br He did the dishes. \br She has done a great job.",,,,
689,"Verbs - Present & Past Tenses",34,deep_dive,"SAY /séd/ DIZER",Beginner,,"To speak words \br irregular \br say; said; said",,,,,,,,"I say hello. \br She said nothing. \br He has said too much.","I say hello. \br She said nothing. \br He has said too much.",,,,
690,"Verbs - Present & Past Tenses",34,deep_dive,"GO /uént/ IR",Beginner,,"To move from one place to another \br irregular \br go; went; gone",,,,,,,,"I go to school. \br We went to the park. \br She has gone home.","I go to school. \br We went to the park. \br She has gone home.",,,,
691,"Verbs - Present & Past Tenses",34,deep_dive,"GET /gót/ OBTER/ PEGAR",Beginner,,"To receive or obtain \br irregular \br get; got; got/gotten",,,,,,,,"I get up at seven. \br He got a letter. \br I have got a present.","I get up at seven. \br He got a letter. \br I have got a present.",,,,
692,"Verbs - Present & Past Tenses",34,deep_dive,"MAKE /mêid/ FAZER",Beginner,,"To create or produce \br irregular \br make; made; made",,,,,,,,"I make coffee. \br She made a cake. \br It has been made of wood.","I make coffee. \br She made a cake. \br It has been made of wood.",,,,
693,"Verbs - Present & Past Tenses",34,deep_dive,"KNOW /niú/ SABER/ CONHECER",Beginner,,"To have information \br irregular \br know; knew; known",,,,,,,,"I know the answer. \br He knew her name. \br She has known him for years.","I know the answer. \br He knew her name. \br She has known him for years.",,,,
