level,idiom,portuguese_equivalent,explanation,example_sentence
B2,Pull someone's leg,"Tirar o sarro / brincar",To joke or tease,"I'm just pulling your leg – it's not true."
B2,Ring a bell,Lembrar vagamente,To sound familiar,"His name rings a bell, but I'm not sure."
B2,See eye to eye,Estar de acordo,To agree,"We don't see eye to eye on politics."
B2,Speak of the devil,"Falar no diabo (e aparece)",When someone appears after being discussed,"Speak of the devil! We were just talking about you."
B2,Steal someone's thunder,Roubar a atenção,To take credit or attention from someone,"She announced her pregnancy at my wedding – she stole my thunder."
B2,Straight from the horse's mouth,Da boca do cavalo,From a reliable source,"I heard it straight from the horse's mouth."
B2,The ball is in your court,A bola está com você,It's your turn to act,"I made an offer – now the ball is in your court."
B2,The best of both worlds,O melhor dos dois mundos,To enjoy two different advantages,"Working from home gives me the best of both worlds."
B2,The last straw,A gota d'água,Final problem causing a reaction,"His lateness was the last straw – I fired him."
B2,Through thick and thin,Nas horas boas e ruins,In good and bad times,"We've been friends through thick and thin."
B2,Throw in the towel,Jogar a toalha,To give up,"After three failures, he threw in the towel."
B2,Up to scratch,À altura (do padrão),Meeting the required standard,"His work isn't up to scratch."
B2,When pigs fly,Quando as galinhas tiverem dentes,Impossible,"He'll clean his room when pigs fly."
B2,You can say that again,"Diga isso de novo (concordo muito)",I strongly agree,"This heat is unbearable. – You can say that again!"
C1,A bird's eye view,Vista aérea,A view from above,"The drone gave us a bird's eye view."
C1,A sight for sore eyes,Um alívio para os olhos,Someone/something you're glad to see,"After the hike, the hotel was a sight for sore eyes."
C1,As the crow flies,Em linha reta,In a straight line,"It's 5 miles as the crow flies, but 7 by road."
C1,Back to the wall,Encurralado,In a difficult situation with few options,"With his back to the wall, he signed the contract."
C1,Beat a dead horse,Bater em cavalo morto,To waste effort on a settled issue,"We already decided – you're beating a dead horse."
C1,Bite the hand that feeds you,Morder a mão que te alimenta,To harm someone who helps you,"He sued his own father – biting the hand that feeds you."
C1,Burn the candle at both ends,Gastar a vela dos dois lados,To overwork by sleeping little and working much,"He's burning the candle at both ends and looks tired."
C1,Bury the hatchet,Enterrar o machado,To end a conflict,"After years of fighting, they finally buried the hatchet."
C1,By the book,Pela regra,Following rules exactly,"Our accountant does everything by the book."
C1,Castles in the air,Castelos no ar,Unrealistic dreams,"His plan to be a millionaire is just castles in the air."
C1,Come full circle,Fechar o círculo,To return to an original position,"His career came full circle when he rejoined the startup."
C1,Cry over spilt milk,Chorar sobre leite derramado,To be upset about something unchangeable,"No use crying over spilt milk – let's move on."
C1,Cut to the quick,Cortar no fundo da alma,To hurt emotionally,"Her words cut him to the quick."
C1,Dark horse,"Cavalo azarão (surpresa)",An unknown person who surprises,"He was a dark horse and won the election."
C1,Do justice to,Fazer justiça a,To represent accurately and well,"This photo doesn't do justice to the view."
C1,Don't put all your eggs in one basket,Não colocar todos os ovos na mesma cesta,Don't risk everything on one thing,"Invest in different assets – don't put all eggs in one basket."
C1,Drive a hard bargain,Negociar duro,To negotiate aggressively,"She drove a hard bargain and got a discount."
C1,Drop in the bucket,Gota no oceano,A very small amount,"Our donation is a drop in the bucket."
C1,Eleventh hour,Última hora,At the last possible moment,"They reached an agreement at the eleventh hour."
C1,Every Tom Dick and Harry,"Todo Zé, Mané e Joaquim",Any ordinary person,"This hotel is for everyone, not every Tom, Dick and Harry."
C1,Get your ducks in a row,Colocar as coisas em ordem,To get organized,"Before you launch, get your ducks in a row."
C1,Give the cold shoulder,Dar gelo,To ignore deliberately,"She gave me the cold shoulder after the argument."
C1,Go for broke,Arriscar tudo,To risk everything in an all-out effort,"It's the final round – go for broke!"
C1,Have a lot on your plate,"Ter muito prato (estar sobrecarregado)",To have many responsibilities,"I can't help – I have a lot on my plate."
C1,Hear it on the grapevine,Ouvir no boca a boca,To hear a rumor,"I heard on the grapevine that you're leaving."
C1,Hold your horses,Segurar os cavalos,To be patient,"Hold your horses – we can't leave yet."
C1,If the shoe fits wear it,Se a carapuça serviu veste,If a criticism applies to you accept it,"I'm not saying you're lazy, but if the shoe fits..."
C1,Jump on the bandwagon,Ir na onda,To join a popular trend,"Many brands jumped on the sustainability bandwagon."
C1,Keep your chin up,Manter a cabeça erguida,To stay optimistic,"Keep your chin up – things will improve."
C1,Kill two birds with one stone,Matar dois coelhos com uma só cajadada,To achieve two things with one action,"I'll shop on the way home – kill two birds with one stone."
C1,Leave no stone unturned,Virar todas as pedras,To search everywhere,"The police left no stone unturned."
C1,Let sleeping dogs lie,Não mexer em vespeiro,To avoid reopening old problems,"Don't ask about their divorce – let sleeping dogs lie."
C1,Make ends meet,Fazer as contas fecharem,To have just enough money,"With two jobs, we barely make ends meet."
C1,Make hay while the sun shines,Fazer feno enquanto o sol brilha,To take advantage of good conditions,"Sales are high – make hay while the sun shines."
C1,Off the record,Em off (não oficial),Not for public attribution,"He told me off the record that the CEO is leaving."
C1,On cloud nine,Nas nuvens,Extremely happy,"She's been on cloud nine since her wedding."
C1,On thin ice,Pisar em ovos,In a risky situation,"You're on thin ice with your boss."
C1,Once bitten twice shy,"Gato escaldado tem medo de água fria",After a bad experience you're cautious,"He won't lend money again – once bitten, twice shy."
C1,Out of the blue,Do nada,Unexpectedly,"She called me out of the blue after ten years."
C1,Play devil's advocate,Advogado do diabo,To argue the opposite side for debate,"I agree, but let me play devil's advocate."
C1,Pull yourself together,Se recompor,To regain self-control,"Stop crying – pull yourself together."
C1,Rain on someone's parade,Estragar a festa,To spoil someone's pleasure,"Sorry to rain on your parade, but we need to work."
C1,Sit on the fence,Ficar em cima do muro,To be undecided,"You can't sit on the fence – choose a side."
C1,Skeleton in the closet,Esqueleto no armário,A hidden secret,"Every politician has a skeleton in the closet."
C1,Spill the beans,"Derramar o feijão (contar segredo)",To reveal a secret,"Who spilled the beans about the surprise party?"
C1,The tip of the iceberg,A ponta do iceberg,Only a small part of a larger problem,"The scandals are just the tip of the iceberg."
C1,Throw caution to the wind,Jogar cautela ao vento,To act recklessly,"He threw caution to the wind and quit his job."
C1,Up in the air,No ar,Uncertain,"Our travel plans are still up in the air."
C1,Walk on eggshells,Pisar em ovos,To act carefully to avoid upsetting someone,"I walk on eggshells around my boss."
C1,When it rains it pours,"Desgraça pouca é bobagem",Problems come all at once,"First the car broke, then I got sick – when it rains, it pours."
C1,You can't have your cake and eat it too,Não dá para ter o bolo e comê-lo,You cannot have two incompatible things,"You want low taxes and great services – you can't have your cake and eat it too."
C2,A drop in the ocean,Gota no oceano,Very small compared to what is needed,"Our effort is a drop in the ocean."
C2,A fool's errand,Missão impossível,A pointless task,"Trying to convince him is a fool's errand."
C2,A leopard can't change its spots,"Pau que nasce torto, nunca se endireita",People cannot change their nature,"He's still dishonest – a leopard can't change its spots."
C2,A wolf in sheep's clothing,Lobo em pele de cordeiro,A dangerous person pretending to be harmless,"Beware of him – he's a wolf in sheep's clothing."
C2,Achilles' heel,Calcanhar de Aquiles,A vulnerable spot,"His poor eyesight is his Achilles' heel."
C2,Barking up the wrong tree,Latir para a árvore errada,To be mistaken about the source,"If you think I stole it, you're barking up the wrong tree."
C2,Beat around the bush,Enrolar,To avoid the point,"Stop beating around the bush – tell me directly."
C2,Bed of roses,Mar de rosas,An easy pleasant situation,"Life isn't a bed of roses."
C2,Beyond the pale,Fora dos limites,Unacceptable,"His behavior was beyond the pale."
C2,Bite your tongue,Morder a língua,To stop yourself from speaking,"I had to bite my tongue to not yell."
C2,Blow off steam,Desabafar,To release stress,"He goes for a run to blow off steam."
C2,By the same token,Pela mesma razão,For the same reason,"He is lazy; by the same token, he's unreliable."
C2,Call a spade a spade,Dar nome aos bois,To speak bluntly,"I like her because she calls a spade a spade."
C2,Can't see the forest for the trees,Ver a árvore e não a floresta,To miss the big picture,"You're too focused on details – you can't see the forest for the trees."
C2,Carry weight,Ter peso / influência,To be influential,"His opinion carries weight."
C2,Champ at the bit,Estar ansioso para começar,To be eager to start,"The team was champing at the bit to begin."
C2,Close but no cigar,"Quase, mas não foi dessa vez",Nearly succeeded but not quite,"Your guess was close but no cigar."
C2,Cross that bridge when you come to it,Atravessar a ponte quando chegar nela,To deal with problems when they occur,"Worry later – we'll cross that bridge when we come to it."
C2,Cut the mustard,Dar conta do recado,To meet expectations,"He doesn't cut the mustard as a manager."
C2,Die hard,"Morrer difícil (teimoso)",To be resistant to change,"Old habits die hard."
C2,Don't count your chickens before they hatch,Não contar com o ovo no cu da galinha,Don't assume success too early,"You haven't got the job yet – don't count your chickens."
C2,Dutch courage,Coragem da cachaça,Courage from alcohol,"He had a beer for Dutch courage."
C2,Eleventh hour,Última hora,The last possible moment,"The rescue came at the eleventh hour."
C2,Flesh and blood,Carne e sangue,Human nature or relatives,"I have to help my own flesh and blood."
C2,For all the tea in China,Nem por todo o ouro do mundo,Not for anything,"I wouldn't do it for all the tea in China."
C2,Get the short end of the stick,Levar a pior,To receive unfair treatment,"I always get the short end of the stick."
C2,Give the shirt off your back,Dar a camisa,To be extremely generous,"He'd give the shirt off his back to a stranger."
C2,Go out on a limb,Arriscar-se,To take a risk,"I'll go out on a limb and say he'll win."
C2,Hit the ground running,Começar a todo vapor,To start something with enthusiasm and skill,"She hit the ground running on day one."
C2,In a nutshell,Em poucas palavras,To summarize,"In a nutshell, we lost."
C2,In the heat of the moment,No calor do momento,When emotions are high,"I said that in the heat of the moment."
C2,Jump the gun,Queimar a largada,To start too early,"They jumped the gun and released the product before testing."
C2,Let the chips fall where they may,Deixe as coisas acontecerem,To not worry about consequences,"I'll do my best and let the chips fall where they may."
C2,Live and let live,Viva e deixe viver,To tolerate others' differences,"We have different lifestyles – live and let live."
C2,Make a mountain out of a molehill,Transformar um grão de areia em montanha,To exaggerate a small problem,"Calm down – you're making a mountain out of a molehill."
C2,Not all that glitters is gold,Nem tudo que reluz é ouro,Appearance can be deceptive,"The job looks great, but not all that glitters is gold."
C2,Play hard to get,Fazer-se de difícil,To pretend disinterest to attract,"He's playing hard to get, but he likes her."
C2,Put your foot in your mouth,Meter os pés pelas mãos,To say something embarrassing,"I put my foot in my mouth by asking about her ex."
C2,Rain check,Deixar para outra hora,To postpone an invitation,"Can I take a rain check on dinner?"
C2,Read between the lines,Ler nas entrelinhas,To understand hidden meaning,"His email was friendly, but reading between the lines, he's angry."
C2,Rome wasn't built in a day,Roma não foi construída num dia,Big achievements take time,"Be patient – Rome wasn't built in a day."
C2,Rub salt in the wound,Esfregar sal na ferida,To make a painful situation worse,"He laughed about my failure – rubbing salt in the wound."
C2,Sit on your hands,Ficar de braços cruzados,To do nothing when action is needed,"The government sat on its hands during the crisis."
C2,The pot calling the kettle black,O sujo falando do mal lavado,Hypocrisy,"He called me lazy – that's the pot calling the kettle black."
C2,Throw someone under the bus,Jogar alguém na fogueira,To betray for personal gain,"He blamed his colleague to save himself – threw him under the bus."
C2,Turn a blind eye,Fazer vista grossa,To ignore intentionally,"The teacher turned a blind eye to the phone use."
C2,Up the creek without a paddle,Em apuros sem saída,In trouble with no solution,"If the car breaks down, we'll be up the creek without a paddle."
C2,Wear your heart on your sleeve,Usar o coração na manga,To show emotions openly,"She wears her heart on her sleeve – you always know how she feels."
C2,When in Rome do as the Romans do,Em Roma seja como os romanos,Adapt to local customs,"We eat dinner late here – when in Rome..."
C2,You can't judge a book by its cover,Não julgue o livro pela capa,Appearances are misleading,"He looks rough, but you can't judge a book by its cover."
