id;set;set_id;type;title;level;question_text;definition;sentence;opt1;opt2;opt3;opt4;correct_answer;explanation;example1;example2;example3;example4;usage1;tip;image_url;description;audio_url;prompt;transcript;front_fields
;Math Symbols - Individual;;deep_dive;Not Equal (!=);A1;;"Inequality operator. Returns true if two values are different. In math, it's ≠, but in code we write !=.";;;;;;;;;"Code: if (age != 18) -> not 18";"Code: while (userInput != ""quit"")";"Code: if (status != SUCCESS) -> error";"Used in loops and conditionals";;"Some languages use <> for not equal, but != is most common.";uploads/images/math/not-equal.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Less than (<) and Greater than (>);A1;;"Compare numeric values. < means strictly smaller, > strictly larger. Also used as angle brackets in generics/HTML.";;;;;;;;;"Code: if (score < 60) -> fail";"Code: if (temperature > 40) -> hot";"Code: List<String> (generics)";"HTML tags: <div>";;"Be careful: in generics, <T> is not comparison.";uploads/images/math/less-greater.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Less than or equal (<=) and Greater than or equal (>=);A1;;"Inclusive comparisons. <= means smaller or equal, >= means larger or equal.";;;;;;;;;"Code: if (age >= 18) -> adult";"Code: if (speed <= 100) -> legal";"Code: while (index <= lastIndex)";"Math: x ≥ 0 means x is zero or positive";;"Use these for ranges: if (x >= 10 && x <= 20)";uploads/images/math/le-ge.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Logical AND (&&) and OR (||);A2;;"&& returns true only if both sides true. || returns true if at least one side true. Short-circuit evaluation.";;;;;;;;;"Code: if (loggedIn && hasPaid) -> allow";"Code: if (isWeekend || isHoliday) -> day off";"Code: let result = a && b (if a false, b not evaluated)";"Code: let name = userInput || ""Guest""";;"Use && for safety: if (obj && obj.prop)";uploads/images/math/and-or.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Logical NOT (!);A2;;"Negation operator. Turns true to false and false to true. Placed before a boolean expression.";;;;;;;;;"Code: if (!isActive) -> inactive";"Code: let isReady = !isLoading";"Code: while (!done) -> keep looping";"Code: if (!(age >= 18)) -> under 18";;"Double NOT (!!) converts any value to boolean.";uploads/images/math/not.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Increment (++) and Decrement (--);A1;;"Add 1 or subtract 1 to a variable. Can be prefix (++x) or postfix (x++). Difference: prefix returns new value, postfix returns old.";;;;;;;;;"Code: count++ (add 1 after using current value)";"Code: --total (subtract 1 before using)";"Code: for (i = 0; i < 10; i++)";"Code: let x = 5; let y = x++; // y=5, x=6";;"Use ++x in expressions when you need the updated value immediately.";uploads/images/math/increment.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Plus equals (+=) and Minus equals (-=);A1;;"Compound assignment: x += y means x = x + y. Similarly -=, *=, /=, %=. Shorter and cleaner.";;;;;;;;;"Code: total += price (same as total = total + price)";"Code: balance -= withdrawal";"Code: score *= 2 (double the score)";"Code: length /= 10 (divide by 10)";;"These operators modify the variable in place.";uploads/images/math/plus-equals.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Parentheses ();A1;;"Group expressions to change evaluation order. Also used for function calls and control structures.";;;;;;;;;"Math: (2+3)*4 = 20 (without parentheses: 2+3*4=14)";"Code: function call: myFunc()";"Code: if (condition)";"Code: while (x < 10)";;"Always use parentheses to make order clear, even when not required.";uploads/images/math/parentheses.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Square brackets [];A1;;"Used for array indexing and list creation. Also in regular expressions and character classes.";;;;;;;;;"Code: arr[0] = first element";"Code: let list = [1,2,3]";"Code: matrix[row][col] (2D array)";"Regex: [a-z] matches any letter";;"Index usually starts at 0 (zero-based).";uploads/images/math/square-brackets.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Curly braces {};A2;;"Define code blocks, objects, and sets. In JavaScript/JSON, they create objects. In C-like languages, they group statements.";;;;;;;;;"Code: if (condition) { doSomething(); }";"Code: let obj = { name: ""Anna"" }";"Code: function myFunc() { return 1; }";"Code: try { ... } catch { ... }";;"Every opening brace { must have a closing }.";uploads/images/math/braces.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Angle brackets <>;A2;;"Used for generics in languages like Java, C#, C++. Also for HTML tags. In math, they mean less than/greater than, but in generics they are not comparisons.";;;;;;;;;"Code: List<String> list = new ArrayList<>();";"HTML: <div>content</div>";"Code: template <typename T>";"C++: std::vector<int> v;";;"Angle brackets in generics are not less than – they are part of type syntax.";uploads/images/math/angle-brackets.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Backslash \;A2;;"Escape character in strings. Turns special characters into literal ones or creates control characters. Also Windows path separator.";;;;;;;;;"Code: \n -> newline";"Code: \t -> tab";"Code: \\ -> literal backslash";"Code: \"" -> double quote inside string";;"To print a backslash, use double backslash: ""\\""";uploads/images/math/backslash-char.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Pi (π);A1;;"Mathematical constant ~3.14159. Ratio of circumference to diameter. In code, use Math.PI (JavaScript) or math.pi (Python).";;;;;;;;;;"Math: area = π * r²";"Code: let circumference = 2 * Math.PI * r";"Code: let radians = degrees * Math.PI / 180";"Code: Math.sin(Math.PI/2) = 1";;"π is irrational: never repeats.";uploads/images/math/pi.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Square root (√);A1;;"Returns a number that, when multiplied by itself, gives the original. In code, use sqrt() function.";;;;;;;;;"Math: √16 = 4";"Code: let side = Math.sqrt(area);";"Code: let distance = Math.sqrt(dx*dx + dy*dy);";"Code: let root = Math.sqrt(2); (≈1.414)";;"Negative numbers give NaN (Not a Number) in most languages.";uploads/images/math/sqrt.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Set symbols (∈, ∪, ∩);B1;;"∈ means ""belongs to"" (element of a set). ∪ is union (combine sets). ∩ is intersection (common elements). Used in algorithms and comments.";;;;;;;;;"Math: 5 ∈ {1,2,3,4,5} true";"Math: A ∪ B = all elements in A or B";"Math: A ∩ B = elements in both";"Code: if (userId ∈ allowedIds)";;"In code, use array methods like includes(), concat(), filter() for set operations.";uploads/images/math/set-symbols.jpg;;;;;;
;Math Symbols Quiz;;multiple_choice;Symbol identification: modulo;A1;"Which symbol gives the remainder after division?";;;"* (asterisk)";"/ (slash)";"% (percent)";"^ (caret)";2;"% is the modulo operator. Example: 10 % 3 = 1.";uploads/images/quiz/modulo.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Logical AND symbol;A1;"Which symbol represents logical AND in most programming languages?";;;"&";"&&";"||";"AND";1;"&& is logical AND. Example: if (x > 0 && y > 0) -> both positive.";uploads/images/quiz/and.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Difference between = and ==;A2;"In programming, what is the difference between = and ==?";;;"Both are the same";"= is assignment, == is comparison";"= is comparison, == is assignment";"= is not used";1;"= assigns a value; == compares values. Using = in an if condition is a common bug.";uploads/images/quiz/equals-vs.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Not equal symbol;A1;"Which symbol means 'not equal to' in most languages?";;;"<>";"!=";"≠";"=/=";1;"!= is standard. Example: if (answer != 42) -> not correct.";uploads/images/quiz/not-equal-q.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Increment operator;A1;"What does ++ do?";;;"Adds 2";"Subtracts 1";"Adds 1";"Multiplies by 1";2;"++ increments by 1. x++ is same as x = x + 1.";uploads/images/quiz/increment.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Backslash usage;A2;"What is the primary use of backslash (\) in programming strings?";;;"Division";"Path separator only";"Escape character";"Multiplication";2;"Backslash escapes special characters. Examples: \n (newline), \t (tab), \\ (literal backslash).";uploads/images/quiz/backslash-q.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Less than or equal;A1;"Which symbol means 'less than or equal to'?";;;"<";"<=";"=<";">=";1;"<= is less than or equal. Example: if (score <= 100) -> valid.";uploads/images/quiz/le.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Square root in code;A1;"How do you calculate the square root of 16 in most programming languages?";;;"√16";"16^0.5";"sqrt(16)";"root(16)";2;"Most languages provide a sqrt() function: Math.sqrt(16) in JavaScript/Java, math.sqrt(16) in Python.";uploads/images/quiz/sqrt-q.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Logical OR;A1;"Which operator returns true if at least one condition is true?";;;"&&";"!";"||";"&";2;"|| is logical OR. Example: if (isWeekend || isHoliday) -> day off.";uploads/images/quiz/or.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Assignment vs Comparison;A2;"What is the correct way to check if x is equal to 5?";;;"x = 5";"x == 5";"x != 5";"x === 5 (only in JS)";1;"x == 5 compares. x = 5 would assign 5 to x, which is usually a bug.";uploads/images/quiz/check-equals.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Pi constant;A1;"What is the approximate value of π?";;;"1.41";"3.14";"2.71";"1.62";1;"π ≈ 3.14159. Used for circles: circumference = 2πr.";uploads/images/quiz/pi-q.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Modulo use case;A2;"Which problem can modulo (%) solve?";;;"Multiply two numbers";"Check if a number is even or odd";"Divide decimals";"Find square root";1;"n % 2 == 0 is even, n % 2 == 1 is odd. Also used for cyclic indices.";uploads/images/quiz/modulo-use.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Difference between / and \ ;A2;"What is the difference between forward slash (/) and backslash (\) in programming?";;;"No difference";" / is division, \ is escape";" / is escape, \ is division";" / is path separator on Windows, \ is on Linux";1;"/ is division (and path on Linux/macOS). \ is escape (and Windows path).";uploads/images/quiz/slash-vs-backslash.jpg;;;;;;;
;Math Symbols Quiz;;multiple_choice;Logical NOT;A1;"What does ! (exclamation) do?";;;"And";"Or";"Negation (flips true/false)";"Assignment";2;"! reverses boolean: !true = false, !false = true.";uploads/images/quiz/not-q.jpg;;;;;;;
