id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
,Verbs - Present & Past Tenses,34,deep_dive,JEOPARDIZE /djépardáiz/ ARISCAR,Advanced,,"To put something at risk of harm \br regular \br jeopardize; jeopardized; jeopardized \br /djépardáiz/; /djépardáizd/; /djépardáizd/",,,,,,,,Don't jeopardize your career. \br He jeopardized the whole mission. \br Her reputation has been jeopardized.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,PROCRASTINATE /prokrástinêit/ PROCRASTINAR,Advanced,,"To delay doing something that should be done \br regular \br procrastinate; procrastinated; procrastinated \br /prokrástinêit/; /prokrástinêitid/; /prokrástinêitid/",,,,,,,,I often procrastinate on homework. \br He procrastinated until the last minute. \br She has procrastinated long enough.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,REJUVENATE /ridjúvenêit/ REJUVENES CER,Advanced,,"To make someone feel young or energetic again \br regular \br rejuvenate; rejuvenated; rejuvenated \br /ridjúvenêit/; /ridjúvenêitid/; /ridjúvenêitid/",,,,,,,,A vacation rejuvenates me. \br The spa treatment rejuvenated her. \br The park has been rejuvenated.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SCRUTINIZE /skrútenáiz/ ESCLARECER,Advanced,,"To examine very carefully \br regular \br scrutinize; scrutinized; scrutinized \br /skrútenáiz/; /skrútenáizd/; /skrútenáizd/",,,,,,,,Auditors scrutinize every receipt. \br He scrutinized the contract. \br The proposal has been scrutinized.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SUBSTANTIATE /substánshieit/ COMPROVAR,Advanced,,"To provide evidence to support a claim \br regular \br substantiate; substantiated; substantiated \br /substánshieit/; /substánshieitid/; /substánshieitid/",,,,,,,,Can you substantiate your accusation? \br He substantiated his theory with data. \br The results have been substantiated.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,USURP /iuzêrp/ USURPAR,Advanced,,"To take power illegally or by force \br regular \br usurp; usurped; usurped \br /iuzêrp/; /iuzêrpt/; /iuzêrpt/",,,,,,,,The general tried to usurp the throne. \br He usurped control of the company. \br Rights have been usurped by the regime.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ACHIEVE /atchíiv/ ALCANÇAR,Intermediate,,"To successfully complete something or reach a goal \br regular \br achieve; achieved; achieved \br /atchíiv/; /atchíivd/; /atchíivd/",,,,,,,,She achieved her dream of becoming a doctor. \br He achieved a high score on the test. \br They have achieved great success.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ADMIT /admít/ ADMITIR,Intermediate,,"To confess or allow entry \br regular \br admit; admitted; admitted \br /admít/; /admítid/; /admítid/",,,,,,,,I admit I made a mistake. \br He admitted breaking the vase. \br She has admitted her guilt.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,APPRECIATE /apríshieit/ APRECIAR,Intermediate,,"To recognize the value of something or be grateful \br regular \br appreciate; appreciated; appreciated \br /apríshieit/; /apríshieitid/; /apríshieitid/",,,,,,,,I appreciate your help. \br She appreciated the gift. \br He has always appreciated good food.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,AVOID /avóid/ EVITAR,Intermediate,,"To stay away from something or someone \br regular \br avoid; avoided; avoided \br /avóid/; /avóidid/; /avóidid/",,,,,,,,I avoid sugary drinks. \br She avoided answering the question. \br He has avoided conflict his whole life.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,BORROW /bórou/ PEDIR EMPRESTADO,Intermediate,,"To take something with permission to return it later \br regular \br borrow; borrowed; borrowed \br /bórou/; /bóroud/; /bóroud/",,,,,,,,Can I borrow your pen? \br She borrowed a book from the library. \br He has borrowed money from me before.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,BOTHER /bóder/ INCOMODAR,Intermediate,,"To annoy or cause trouble \br regular \br bother; bothered; bothered \br /bóder/; /bóderd/; /bóderd/",,,,,,,,Does the noise bother you? \br She was bothered by the flies. \br It has never bothered me.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,COMPLAIN /komplêin/ RECLAMAR,Intermediate,,"To express dissatisfaction \br regular \br complain; complained; complained \br /komplêin/; /komplêind/; /komplêind/",,,,,,,,I complain about the weather often. \br He complained about the service. \br She has never complained once.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CONFUSE /konfiúz/ CONFUNDIR,Intermediate,,"To make someone unable to think clearly \br regular \br confuse; confused; confused \br /konfiúz/; /konfiúzd/; /konfiúzd/",,,,,,,,The instructions confuse me. \br His explanation confused everyone. \br The two names have confused people for years.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CONSIDER /konsíder/ CONSIDERAR,Intermediate,,"To think about carefully \br regular \br consider; considered; considered \br /konsíder/; /konsíderd/; /konsíderd/",,,,,,,,I consider him a friend. \br She considered all options. \br They have considered moving abroad.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,DECIDE /disáid/ DECIDIR,Intermediate,,"To make a choice \br regular \br decide; decided; decided \br /disáid/; /disáidid/; /disáidid/",,,,,,,,I decide what to eat. \br He decided to quit his job. \br She has decided not to go.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ENCOURAGE /inkôredj/ ENCORAJAR,Intermediate,,"To give support or confidence \br regular \br encourage; encouraged; encouraged \br /inkôredj/; /inkôredjd/; /inkôredjd/",,,,,,,,My parents encourage me to study. \br She encouraged her friend to apply. \br He has encouraged many young artists.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ENVY /énvi/ INVEJAR,Intermediate,,"To feel jealousy towards someone \br regular \br envy; envied; envied \br /énvi/; /énvid/; /énvid/",,,,,,,,I envy his talent. \br She envied her sister's success. \br He has never envied anyone.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ESCAPE /iskêip/ ESCAPAR,Intermediate,,"To get away from a dangerous situation \br regular \br escape; escaped; escaped \br /iskêip/; /iskêipt/; /iskêipt/",,,,,,,,The bird escaped from its cage. \br He escaped the burning building. \br She has escaped death twice.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,EXPAND /ikspénd/ EXPANDIR,Intermediate,,"To become larger \br regular \br expand; expanded; expanded \br /ikspénd/; /ikspéndid/; /ikspéndid/",,,,,,,,Business expands in summer. \br The universe expanded rapidly. \br The company has expanded to Europe.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,EXPLAIN /iksplêin/ EXPLICAR,Intermediate,,"To make something clear \br regular \br explain; explained; explained \br /iksplêin/; /iksplêind/; /iksplêind/",,,,,,,,Can you explain the rule? \br He explained the situation. \br She has explained it many times.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,FAIL /fêil/ FALHAR,Intermediate,,"To be unsuccessful \br regular \br fail; failed; failed \br /fêil/; /fêild/; /fêild/",,,,,,,,I never fail to laugh at that joke. \br He failed the driving test. \br She has failed three times, but tries again.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,HIDE /háid/ ESCONDER,Intermediate,,"To put or keep out of sight \br irregular \br hide; hid; hidden \br /háid/; /híd/; /híden/",,,,,,,,I hide my diary. \br He hid the key under the mat. \br She has hidden the presents in the closet.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,INFORM /infórm/ INFORMAR,Intermediate,,"To tell someone about something \br regular \br inform; informed; informed \br /infórm/; /infórmd/; /infórmd/",,,,,,,,Please inform me of any changes. \br He informed the police. \br She has informed her boss already.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,INVITE /inváit/ CONVIDAR,Intermediate,,"To ask someone to come somewhere \br regular \br invite; invited; invited \br /inváit/; /inváitid/; /inváitid/",,,,,,,,I invite you to my party. \br She invited him to dinner. \br They have invited us three times.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,LEND /lend/ EMPRESTAR,Intermediate,,"To give something expecting it back \br irregular \br lend; lent; lent \br /lend/; /lent/; /lent/",,,,,,,,I lend money to friends. \br He lent me his car. \br She has lent her book to many people.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,MANAGE /mánedj/ GERENCIAR,Intermediate,,"To be in charge of or succeed in doing something \br regular \br manage; managed; managed \br /mánedj/; /mánedjd/; /mánedjd/",,,,,,,,I manage a team of ten. \br He managed to finish on time. \br She has managed the store for years.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,MISUNDERSTAND /misanderstánd/ ENTENDER MAL,Intermediate,,"To fail to understand correctly \br irregular \br misunderstand; misunderstood; misunderstood \br /misanderstánd/; /misanderstúd/; /misanderstúd/",,,,,,,,I often misunderstand instructions. \br He misunderstood my question. \br She has been misunderstood her whole life.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,OCCUR /okêr/ OCORRER,Intermediate,,"To happen or come to mind \br regular \br occur; occurred; occurred \br /okêr/; /okêrd/; /okêrd/",,,,,,,,Accidents occur frequently. \br The idea occurred to him. \br It has never occurred to me.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,PERSUADE /persuêid/ PERSUADIR,Intermediate,,"To convince someone to do something \br regular \br persuade; persuaded; persuaded \br /persuêid/; /persuêidid/; /persuêidid/",,,,,,,,I persuaded him to stay. \br She persuaded the board to approve. \br He has persuaded many voters.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,PREVENT /privént/ PREVENIR,Intermediate,,"To stop something from happening \br regular \br prevent; prevented; prevented \br /privént/; /privéntid/; /privéntid/",,,,,,,,Vaccines prevent diseases. \br He prevented an accident. \br She has prevented many conflicts.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,RECOGNIZE /rékognáiz/ RECONHECER,Intermediate,,"To know someone or something from before \br regular \br recognize; recognized; recognized \br /rékognáiz/; /rékognáizd/; /rékognáizd/",,,,,,,,I recognize that face. \br She recognized the song immediately. \br He has been recognized as a leader.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,REDUCE /ridiús/ REDUZIR,Intermediate,,"To make smaller or less \br regular \br reduce; reduced; reduced \br /ridiús/; /ridiúst/; /ridiúst/",,,,,,,,We need to reduce waste. \br He reduced his spending. \br The pain has reduced significantly.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,RISE /ráiz/ SUBIR,Intermediate,,"To go up \br irregular \br rise; rose; risen \br /ráiz/; /róuz/; /rízen/",,,,,,,,The sun rises at 6 AM. \br Prices rose sharply. \br The river has risen two meters.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SHAKE /shêik/ SACUDIR,Intermediate,,"To move back and forth quickly \br irregular \br shake; shook; shaken \br /shêik/; /shúk/; /shêiken/",,,,,,,,I shake the bottle before use. \br He shook his head in disbelief. \br The earthquake has shaken the city.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SHOOT /shút/ ATIRAR,Intermediate,,"To fire a gun or kick a ball towards goal \br irregular \br shoot; shot; shot \br /shút/; /shót/; /shót/",,,,,,,,I shoot at the target. \br He shot the ball into the net. \br The photographer has shot many weddings.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ABOLISH /abólísh/ ABOLIR,Advanced,,"To officially end a law or system \br regular \br abolish; abolished; abolished \br /abólísh/; /abólísht/; /abólísht/",,,,,,,,The death penalty was abolished. \br He advocated abolishing slavery. \br They have abolished outdated rules.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ALLEGE /alédj/ ALEGAR,Advanced,,"To claim without proof \br regular \br allege; alleged; alleged \br /alédj/; /alédjd/; /alédjd/",,,,,,,,The victim alleges assault. \br He alleged corruption. \br She has alleged misconduct.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ASCERTAIN /asertêin/ AVERIGUAR,Advanced,,"To find out for sure \br regular \br ascertain; ascertained; ascertained \br /asertêin/; /asertêind/; /asertêind/",,,,,,,,The detective ascertained the truth. \br He ascertained the cause. \br We have ascertained the facts.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,COERCE /coêrs/ COAGIR,Advanced,,"To force someone to do something \br regular \br coerce; coerced; coerced \br /coêrs/; /coêrst/; /coêrst/",,,,,,,,The dictator coerced obedience. \br He coerced her into signing. \br Confessions were coerced by torture.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CONCEDE /konsíid/ CONCEDER,Advanced,,"To admit something is true after denying \br regular \br concede; conceded; conceded \br /konsíid/; /konsíidid/; /konsíidid/",,,,,,,,He finally conceded defeat. \br She conceded that she was wrong. \br The candidate has conceded the election.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CONSTRUE /konstrú/ INTERPRETAR,Advanced,,"To interpret in a particular way \br regular \br construe; construed; construed \br /konstrú/; /konstrúd/; /konstrúd/",,,,,,,,His silence was construed as guilt. \br She construed my words as criticism. \br The law is strictly construed.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,DEMEAN /dimíin/ REBAIXAR,Advanced,,"To lower dignity or reputation \br regular \br demean; demeaned; demeaned \br /dimíin/; /dimíind/; /dimíind/",,,,,,,,Don't demean yourself by lying. \br He demeaned his opponent. \br She has been demeaned by rumors.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,DISPARAGE /dispérédj/ DEPRECIAR,Advanced,,"To speak negatively about someone \br regular \br disparage; disparaged; disparaged \br /dispérédj/; /dispérédjd/; /dispérédjd/",,,,,,,,He disparaged her efforts. \br She never disparages others. \br The article has disparaged the community.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,EMBELLISH /imbélísh/ EMBAIR,Advanced,,"To decorate or exaggerate a story \br regular \br embellish; embellished; embellished \br /imbélísh/; /imbélísht/; /imbélísht/",,,,,,,,She embellished the dress with pearls. \br He embellished the tale. \br The truth has been embellished.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ENCOMPASS /enkãmpas/ ABRANGER,Advanced,,"To include a wide range \br regular \br encompass; encompassed; encompassed \br /enkãmpas/; /enkãmpast/; /enkãmpast/",,,,,,,,The course encompasses history and art. \br His role encompassed many duties. \br The park has encompassed the entire valley.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,EXTRICATE /ékstrikêit/ EXTRICAR,Advanced,,"To free from a difficult situation \br regular \br extricate; extricated; extricated \br /ékstrikêit/; /ékstrikêitid/; /ékstrikêitid/",,,,,,,,He extricated himself from debt. \br She extricated the cat from the tree. \br The company has been extricated from bankruptcy.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,GARNER /gárner/ OBTER,Advanced,,"To collect or gather something \br regular \br garner; garnered; garnered \br /gárner/; /gárnerd/; /gárnerd/",,,,,,,,The film garnered awards. \br He garnered support from the crowd. \br She has garnered praise for her work.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,IMPUGN /impión/ IMPUGNAR,Advanced,,"To challenge or dispute \br regular \br impugn; impugned; impugned \br /impión/; /impión/; /impión/",,,,,,,,The lawyer impugned the witness's credibility. \br He impugned my motives. \br Her honesty has never been impugned.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,INCARCERATE /inkárserêit/ ENCARCERAR,Advanced,,"To put in prison \br regular \br incarcerate; incarcerated; incarcerated \br /inkárserêit/; /inkárserêitid/; /inkárserêitid/",,,,,,,,The judge incarcerated the criminal. \br He was incarcerated for ten years. \br They have incarcerated innocent people.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,MISCONSTRUE /miskonstrú/ INTERPRETAR MAL,Advanced,,"To interpret incorrectly \br regular \br misconstrue; misconstrued; misconstrued \br /miskonstrú/; /miskonstrúd/; /miskonstrúd/",,,,,,,,Don't misconstrue my silence as agreement. \br He misconstrued her intentions. \br My words have been misconstrued.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,OBVIATE /óbviêit/ OBVIAR,Advanced,,"To avoid or prevent something \br regular \br obviate; obviated; obviated \br /óbviêit/; /óbviêitid/; /óbviêitid/",,,,,,,,This solution obviates the need for surgery. \br He obviated conflict by apologizing. \br The new system has obviated delays.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,PERSIST /persíst/ PERSISTIR,Advanced,,"To continue firmly despite difficulty \br regular \br persist; persisted; persisted \br /persíst/; /persístid/; /persístid/",,,,,,,,The pain persists. \br He persisted in his efforts. \br The fog has persisted all day.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,PRECIPITATE /prisípitêit/ PRECIPITAR,Advanced,,"To cause something to happen suddenly \br regular \br precipitate; precipitated; precipitated \br /prisípitêit/; /prisípitêitid/; /prisípitêitid/",,,,,,,,The remark precipitated a crisis. \br The storm precipitated flooding. \br His resignation has precipitated chaos.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,RECANT /rikánt/ RETRATAR,Advanced,,"To take back a statement \br regular \br recant; recanted; recanted \br /rikánt/; /rikántid/; /rikántid/",,,,,,,,The witness recanted his testimony. \br He recanted his confession. \br She has recanted her earlier claims.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,STIPULATE /stípiulêit/ ESTIPULAR,Advanced,,"To specify as a condition \br regular \br stipulate; stipulated; stipulated \br /stípiulêit/; /stípiulêitid/; /stípiulêitid/",,,,,,,,The contract stipulates payment within 30 days. \br He stipulated that he must be consulted. \br The rules have been stipulated clearly.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ACCEPT /aksépt/ ACEITAR,Intermediate,,"To receive willingly \br regular \br accept; accepted; accepted \br /aksépt/; /akséptid/; /akséptid/",,,,,,,,I accept your apology. \br She accepted the job offer. \br He has accepted the terms.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,BELIEVE /bilíiv/ ACREDITAR,Intermediate,,"To think something is true \br regular \br believe; believed; believed \br /bilíiv/; /bilíivd/; /bilíivd/",,,,,,,,I believe you. \br She believed his story. \br They have believed in him for years.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,BITE /báit/ MORDER,Intermediate,,"To cut with teeth \br irregular \br bite; bit; bitten \br /báit/; /bít/; /bíten/",,,,,,,,Dogs bite when scared. \br He bit his tongue. \br She has bitten her nails since childhood.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,BLOW /blôu/ SOPRAR,Intermediate,,"To move air or explode \br irregular \br blow; blew; blown \br /blôu/; /blú/; /blôun/",,,,,,,,The wind blows hard. \br He blew out the candles. \br The roof has blown off.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,BURN /bêrn/ QUEIMAR,Intermediate,,"To be on fire or damage with heat \br regular or irregular \br burn; burned/burnt; burned/burnt \br /bêrn/; /bêrnd/ or /bêrnt/; /bêrnd/ or /bêrnt/",,,,,,,,Paper burns easily. \br She burned the toast. \br He has burnt his hand.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CHOOSE /tchúz/ ESCOLHER,Intermediate,,"To pick from options \br irregular \br choose; chose; chosen \br /tchúz/; /tchôuz/; /tchôuzen/",,,,,,,,I choose the red one. \br She chose the blue dress. \br They have chosen a leader.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,COOK /kúk/ COZINHAR,Intermediate,,"To prepare food with heat \br regular \br cook; cooked; cooked \br /kúk/; /kúkt/; /kúkt/",,,,,,,,I cook dinner every night. \br He cooked a feast. \br She has cooked for fifty people.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,DARE /dér/ OUSAR,Intermediate,,"To have courage to do something \br regular \br dare; dared; dared \br /dér/; /dérd/; /dérd/",,,,,,,,I dare you to jump. \br He dared to speak up. \br She has never dared to fly.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,DREAM /dríim/ SONHAR,Intermediate,,"To have dreams while sleeping or hope \br regular or irregular \br dream; dreamed/dreamt; dreamed/dreamt \br /dríim/; /dríimd/ or /drémt/; /dríimd/ or /drémt/",,,,,,,,I dream every night. \br She dreamed of becoming a pilot. \br He has dreamt about you.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,EARN /êrn/ GANHAR,Intermediate,,"To get money for work \br regular \br earn; earned; earned \br /êrn/; /êrnd/; /êrnd/",,,,,,,,I earn a salary. \br He earned a promotion. \br She has earned respect.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,FADE /fêid/ DESBOTAR,Intermediate,,"To lose color or disappear gradually \br regular \br fade; faded; faded \br /fêid/; /fêidid/; /fêidid/",,,,,,,,Jeans fade over time. \br The music faded away. \br Hope has faded.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,FORGIVE /forgúv/ PERDOAR,Intermediate,,"To stop feeling anger towards someone \br irregular \br forgive; forgave; forgiven \br /forgúv/; /forgêiv/; /forgíven/",,,,,,,,I forgive you. \br He forgave her mistake. \br She has forgiven him.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,FREEZE /fríiz/ CONGELAR,Intermediate,,"To become ice or stop moving \br irregular \br freeze; froze; frozen \br /fríiz/; /frôuz/; /frôuzen/",,,,,,,,Water freezes at 0°C. \br The pipes froze. \br She has frozen the leftovers.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,GATHER /guéder/ REUNIR,Intermediate,,"To collect or come together \br regular \br gather; gathered; gathered \br /guéder/; /guéderd/; /guéderd/",,,,,,,,Leaves gather in autumn. \br He gathered evidence. \br We have gathered here today.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,GREET /gríit/ CUMPRIMENTAR,Intermediate,,"To welcome someone \br regular \br greet; greeted; greeted \br /gríit/; /gríitid/; /gríitid/",,,,,,,,I greet my neighbours. \br She greeted us warmly. \br He has greeted every guest.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,HANG /hêng/ PENDURAR,Intermediate,,"To suspend or attach from above \br regular or irregular \br hang; hanged/hung; hanged/hung \br /hêng/; /hêngd/ or /hãng/; /hêngd/ or /hãng/",,,,,,,,I hang my coat. \br He hung the picture. \br She has hanged the criminal (execution).,,,,
,Verbs - Present & Past Tenses,34,deep_dive,IMPROVE /imprúv/ MELHORAR,Intermediate,,"To get better \br regular \br improve; improved; improved \br /imprúv/; /imprúvd/; /imprúvd/",,,,,,,,Practice improves skills. \br His health improved. \br The weather has improved.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,LEARN /lêrn/ APRENDER,Intermediate,,"To gain knowledge \br regular or irregular \br learn; learned/learnt; learned/learnt \br /lêrn/; /lêrnd/ or /lêrnt/; /lêrnd/ or /lêrnt/",,,,,,,,I learn quickly. \br He learned a lot. \br She has learnt French.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,MISTAKE /mistêik/ ERRAR,Intermediate,,"To be wrong about something \br irregular \br mistake; mistook; mistaken \br /mistêik/; /mistúk/; /mistêiken/",,,,,,,,I often mistake her for her sister. \br He mistook the salt for sugar. \br She has been mistaken before.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,OBSERVE /obzêrv/ OBSERVAR,Intermediate,,"To watch carefully \br regular \br observe; observed; observed \br /obzêrv/; /obzêrvd/; /obzêrvd/",,,,,,,,I observe birds. \br He observed the experiment. \br She has observed many changes.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,OVERCOME /ovêrcãm/ SUPERAR,Intermediate,,"To succeed over a problem \br irregular \br overcome; overcame; overcome \br /ovêrcãm/; /ovêrkêim/; /ovêrcãm/",,,,,,,,She overcomes fear. \br He overcame addiction. \br They have overcome many obstacles.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,PAINT /pêint/ PINTAR,Intermediate,,"To apply color \br regular \br paint; painted; painted \br /pêint/; /pêintid/; /pêintid/",,,,,,,,I paint landscapes. \br He painted the house. \br She has painted for years.,,,,,
