"id","set","type","title","level","question_text","opt1","opt2","opt3","opt4","correct_answer","explanation","image_url","audio_url"
,"Driving Theory Test","multiple_choice","Texting while driving is:","Beginner","Texting while driving is:","Allowed","Illegal","Recommended","",1,"Texting while driving is illegal in most states because it causes cognitive and visual distraction, greatly increasing crash risk.","",
,"Driving Theory Test","multiple_choice","Seat belts required for:","Beginner","Seat belts required for:","Front passengers","No one","Optional","",0,"Seat belts are required for front seat passengers in all states. Rear seat laws vary, but front seat occupants must always buckle up.","",
,"Driving Theory Test","multiple_choice","Children under 5 must be in:","Beginner","Children under 5 must be in:","Car seat","Front seat","No belt","",0,"Children under 5 (and typically under a certain weight/height) must be secured in an approved child safety seat or booster seat for proper protection.","",
,"Driving Theory Test","multiple_choice","A yellow diamond sign means:","Beginner","A yellow diamond sign means:","Warning","Stop","Hospital","",0,"Yellow diamond signs are warning signs that alert you to potential hazards ahead such as curves, intersections, or slippery roads.","",
,"Driving Theory Test","multiple_choice","Orange signs indicate:","Beginner","Orange signs indicate:","Construction","School","Parking","",0,"Orange signs with black letters or symbols are used for construction and maintenance work zones. They warn of lane closures, detours, or workers.","",
,"Driving Theory Test","multiple_choice","Pentagon sign means:","Beginner","Pentagon sign means:","School zone","Yield","Stop","",0,"A pentagon-shaped sign (pointing up like a house) indicates a school zone or school crossing. It warns drivers to watch for children.","",
,"Driving Theory Test","multiple_choice","Round sign means:","Beginner","Round sign means:","Railroad crossing","Stop","Yield","",0,"A circular yellow sign with black X and 'RR' indicates a railroad crossing ahead. It warns you to look and listen for trains.","",
,"Driving Theory Test","multiple_choice","If gate down at railroad?","Beginner","If gate down at railroad?","Go around","Do not cross","Honk","",1,"Never go around a lowered railroad gate or ignore flashing lights. Trains cannot stop quickly; crossing is illegal and deadly.","",
,"Driving Theory Test","multiple_choice","Following distance safe?","Beginner","Following distance safe?","3-4 seconds","1 second","None","",0,"The 3-4 second rule allows enough time to react and brake safely under normal conditions. Increase distance in rain or snow.","",
,"Driving Theory Test","multiple_choice","Wet roads require:","Beginner","Wet roads require:","Slow down","Speed","Same speed","",0,"Wet roads reduce tire traction, increasing stopping distance. Slowing down helps prevent hydroplaning and skids.","",
,"Driving Theory Test","multiple_choice","Hydroplaning occurs when:","Beginner","Hydroplaning occurs when:","Tires lose contact","Engine fails","Lights off","",0,"Hydroplaning happens when water builds up between tires and road, causing loss of traction and steering control. Occurs at speeds above 35 mph on wet roads.","",
,"Driving Theory Test","multiple_choice","If skid occurs?","Beginner","If skid occurs?","Ease off pedals","Brake hard","Turn fast","",0,"To regain control during a skid: ease off gas and brake, look where you want to go, and steer smoothly. Hard braking worsens skids.","",
,"Driving Theory Test","multiple_choice","Alcohol affects driving by:","Beginner","Alcohol affects driving by:","Slowing reaction","Improving","None","",0,"Alcohol impairs judgment, slows reaction time, reduces coordination, and decreases visual acuity — all dangerous for driving.","",
,"Driving Theory Test","multiple_choice","Open container for driver:","Beginner","Open container for driver:","Illegal","Allowed","Only night","",0,"Open containers of alcohol in the passenger area are illegal for drivers in most states, even if not drinking. Only sealed containers are allowed.","",
,"Driving Theory Test","multiple_choice","Move over law requires:","Beginner","Move over law requires:","Change lane for emergency","Speed","Ignore","",0,"Move over law: When approaching a stopped emergency or service vehicle with lights, you must change to a non-adjacent lane or slow down significantly.","",
,"Driving Theory Test","multiple_choice","Headlights in rain?","Beginner","Headlights in rain?","Required","Optional","Illegal","",0,"Most states require headlights when windshield wipers are in use (rain, snow, fog). This improves your visibility to others.","",
,"Driving Theory Test","multiple_choice","High beams dim distance?","Beginner","High beams dim distance?","500 ft","50 ft","10 ft","",0,"Dim high beams to low beams when within 500 feet of an oncoming vehicle or 200-300 feet when following another car to avoid blinding other drivers.","",
,"Driving Theory Test","multiple_choice","Passing on right allowed?","Beginner","Passing on right allowed?","When safe","Never","Always","",0,"Passing on the right is allowed only on multi-lane roads where the right lane is clear, or when the vehicle ahead is turning left — but never on the shoulder.","",
,"Driving Theory Test","multiple_choice","U-turn allowed?","Beginner","U-turn allowed?","When safe/legal","Never","Highway only","",0,"U-turns are allowed only when safe, legal, and not prohibited by signs. Never on curves, hills, highways, or near railroad crossings.","",
,"Driving Theory Test","multiple_choice","Before changing lanes:","Beginner","Before changing lanes:","Check blind spot","Just go","Honk","",0,"Always check mirrors and physically glance over your shoulder to check blind spots before changing lanes. Mirrors alone miss vehicles beside you.","",
,"Driving Theory Test","multiple_choice","Motorcycles allowed full lane?","Beginner","Motorcycles allowed full lane?","Yes","No","Half","",0,"Motorcycles are entitled to the full lane width. Never share a lane with a motorcycle — they need space to maneuver.","",
,"Driving Theory Test","multiple_choice","Bicycles on road?","Beginner","Bicycles on road?","Share road","Illegal","Ignore","",0,"Bicycles have the same rights and responsibilities as vehicles. Drivers must share the road and give cyclists at least 3 feet of space when passing.","",
,"Driving Theory Test","multiple_choice","Passing bicycle space:","Beginner","Passing bicycle space:","3 feet","1 foot","None","",0,"Most states require at least 3 feet of clearance when passing a cyclist. Less than that increases risk of collision or forcing the cyclist off the road.","",
,"Driving Theory Test","multiple_choice","Funeral procession?","Beginner","Funeral procession?","Yield","Cut through","Honk","",0,"Funeral processions have right-of-way in many states. You must yield, not interrupt, and never cut through — it's both illegal and disrespectful.","",
,"Driving Theory Test","multiple_choice","Driving too slow can:","Beginner","Driving too slow can:","Impede traffic","Be safest","Required","",0,"Driving significantly below the speed limit (unless conditions require) impedes traffic flow, causes tailgating, and can lead to crashes. It is often illegal.","",
,"Driving Theory Test","multiple_choice","Tailgating is:","Beginner","Tailgating is:","Illegal","Safe","Required","",0,"Tailgating (following too closely) is illegal and a leading cause of rear-end collisions. Maintain safe following distance.","",
,"Driving Theory Test","multiple_choice","Blind pedestrian with cane?","Beginner","Blind pedestrian with cane?","Always yield","Ignore","Honk","",0,"A blind pedestrian using a white cane or guide dog has absolute right-of-way at all times. You must come to a complete stop and yield.","",
,"Driving Theory Test","multiple_choice","If signal dark?","Beginner","If signal dark?","Treat as stop","Speed","Ignore","",0,"If a traffic light is completely dark (power failure), treat it as a 4-way stop. Come to a complete stop and proceed when safe.","",
,"Driving Theory Test","multiple_choice","Green light but blocked?","Beginner","Green light but blocked?","Wait","Enter","Honk","",0,"Even with a green light, do not enter an intersection if traffic is backed up — you will block cross traffic. Wait until the way is clear.","",
,"Driving Theory Test","multiple_choice","Entering highway:","Beginner","Entering highway:","Yield to traffic","Stop","Speed blindly","",0,"Use the acceleration ramp to match highway speed, then yield to existing traffic. Merge only when there is a safe gap. Do not force your way in.","",
,"Driving Theory Test","multiple_choice","Exit highway:","Beginner","Exit highway:","Signal early","Stop lane","Reverse","",0,"Signal your exit well in advance, maintain speed on the exit ramp, then slow down. Do not slow down while still on the main highway.","",
,"Driving Theory Test","multiple_choice","Truck blind spots:","Beginner","Truck blind spots:","Avoid staying","Stay","Honk","",0,"Trucks have large blind spots ('No-Zones') on both sides, front, and rear. Avoid lingering in these areas; the driver cannot see you.","",
,"Driving Theory Test","multiple_choice","Night driving:","Beginner","Night driving:","Use headlights","No lights","Hazards","",0,"Always use headlights from sunset to sunrise and during low visibility. This helps you see and be seen by others.","",
,"Driving Theory Test","multiple_choice","Fog driving:","Beginner","Fog driving:","Low beams","High beams","No lights","",0,"Use low beams or fog lights in fog. High beams reflect off water droplets and create glare, reducing visibility further.","",
,"Driving Theory Test","multiple_choice","Residential speed limit typical:","Beginner","Residential speed limit typical:","30 mph","70 mph","90 mph","",0,"Typical residential speed limits are 25-35 mph (often 30 mph). Lower speeds protect pedestrians, children, and pets.","",
,"Driving Theory Test","multiple_choice","Interstate rural speed:","Beginner","Interstate rural speed:","70 mph","25 mph","120 mph","",0,"Rural interstate speed limits are typically 65-75 mph (often 70 mph). Higher than that increases crash severity and fuel use.","",
,"Driving Theory Test","multiple_choice","Aggressive driving includes:","Beginner","Aggressive driving includes:","Speeding","Safe driving","Parking","",0,"Aggressive driving includes speeding, tailgating, frequent lane changes, running red lights, and road rage behaviors — all dangerous.","",
,"Driving Theory Test","multiple_choice","Road rage is:","Beginner","Road rage is:","Dangerous","Legal","Normal","",0,"Road rage includes yelling, gesturing, tailgating, or deliberate collisions. It is dangerous, illegal, and can lead to assault or homicide.","",
,"Driving Theory Test","multiple_choice","Tire blowout?","Beginner","Tire blowout?","Hold wheel steady","Brake hard","Jump out","",0,"During a blowout: grip the steering wheel firmly, ease off the gas, do not brake hard, and coast to a stop off the road. Hard braking causes loss of control.","",
,"Driving Theory Test","multiple_choice","Accelerator stuck?","Beginner","Accelerator stuck?","Shift neutral","Speed","Close eyes","",0,"If accelerator sticks: shift to neutral, brake firmly, look for an escape path, and turn off engine only after stopping. Neutral cuts power to wheels.","",
,"Driving Theory Test","multiple_choice","Brakes fail?","Beginner","Brakes fail?","Pump brakes","Panic","Turn off eyes","",0,"If brakes fail: pump the brake pedal rapidly, shift to a lower gear, use the parking brake gently, and look for an escape route (run-off ramp, bushes).","",
,"Driving Theory Test","multiple_choice","Water over road?","Beginner","Water over road?","Avoid driving through","Speed","Ignore","",0,"Turn around, don't drown. Six inches of water can cause loss of control; one foot can float many vehicles. Never drive through flooded roads.","",
,"Driving Theory Test","multiple_choice","Use horn for:","Beginner","Use horn for:","Warning","Anger","Fun","",0,"The horn is for warning other drivers of danger (e.g., to avoid a crash). Using it out of anger or for fun is illegal and considered noise disturbance.","",
,"Driving Theory Test","multiple_choice","Hand signals used when:","Beginner","Hand signals used when:","Signals fail","Always","Never","",0,"If your turn signals or brake lights stop working, use hand signals (left arm out window) to indicate turns and stops until repairs are made.","",
,"Driving Theory Test","multiple_choice","Vehicle registration required?","Beginner","Vehicle registration required?","Yes","No","Optional","",0,"Every vehicle driven on public roads must have valid registration. Driving without registration is illegal and subject to fines.","",
,"Driving Theory Test","multiple_choice","Proof of insurance carry?","Beginner","Proof of insurance carry?","Yes","No","Optional","",0,"Most states require drivers to carry proof of insurance (insurance card) and present it during traffic stops or after a crash.","",
,"Driving Theory Test","multiple_choice","Work zone fines:","Beginner","Work zone fines:","Higher","Lower","None","",0,"Work zone fines are often double or triple normal fines to deter speeding and protect construction workers.","",
,"Driving Theory Test","multiple_choice","Construction workers:","Beginner","Construction workers:","Slow and yield","Ignore","Speed","",0,"Slow down, follow flagger instructions, and yield to workers. Speeding through work zones endangers lives and results in heavy fines.","",
,"Driving Theory Test","multiple_choice","Officer directing traffic:","Beginner","Officer directing traffic:","Follow officer","Signal","Ignore","",0,"A police officer's hand signals override traffic lights and signs. Always follow the officer's directions even if they contradict a signal.","",
,"Driving Theory Test","multiple_choice","Windshield must be:","Beginner","Windshield must be:","Clear","Covered","Painted","",0,"Your windshield must be clear of obstructions (ice, snow, stickers, cracks) to ensure unobstructed visibility. Blocked windshields are illegal.","",
,"Driving Theory Test","multiple_choice","Mirrors required?","Beginner","Mirrors required?","Yes","No","Optional","",0,"All vehicles must have at least two mirrors — one left side mirror and either a rearview or right side mirror — for proper visibility.","",
,"Driving Theory Test","multiple_choice","Airbags replace seat belts?","Beginner","Airbags replace seat belts?","No","Yes","Sometimes","",0,"Airbags are supplemental restraints. Seat belts keep you in position for the airbag to work; without a belt, airbags can cause severe injury. Always use both.","",
,"Driving Theory Test","multiple_choice","Reckless driving:","Beginner","Reckless driving:","Criminal offense","Allowed","Safe","",0,"Reckless driving (willful disregard for safety) is a criminal offense, not a simple traffic ticket. It can lead to jail time and license suspension.","",
,"Driving Theory Test","multiple_choice","Following fire truck distance:","Beginner","Following fire truck distance:","500 ft","5 ft","None","",0,"Do not follow within 500 feet of a fire truck or emergency vehicle responding to an emergency. This gives them space and avoids interference.","",
,"Driving Theory Test","multiple_choice","Driving wrong way:","Beginner","Driving wrong way:","Illegal","Allowed","Safe","",0,"Driving the wrong direction on a one-way street or highway is extremely dangerous and illegal. It causes head-on collisions.","",
,"Driving Theory Test","multiple_choice","Stop before crosswalk?","Beginner","Stop before crosswalk?","Yes","No","Optional","",0,"You must stop behind the stop line or, if none, before entering the crosswalk. Stopping in the crosswalk blocks pedestrians.","",
,"Driving Theory Test","multiple_choice","Drowsy driving is:","Beginner","Drowsy driving is:","Dangerous","Safe","Good","",0,"Drowsy driving impairs reaction time similar to drunk driving. Fatigue increases crash risk; pull over and rest if tired.","",
,"Driving Theory Test","multiple_choice","Carbon monoxide risk?","Beginner","Carbon monoxide risk?","Running car closed garage","Open road","None","",0,"Running a car in a closed garage allows odorless, deadly carbon monoxide to accumulate. Even with the garage door open, it's risky. Never do it.","",
,"Driving Theory Test","multiple_choice","Two cars arrive same time stop:","Beginner","Two cars arrive same time stop:","Driver right first","Left","Fastest","",0,"If two vehicles arrive at a 4-way stop at the same time, the driver on the left yields to the driver on the right.","",
,"Driving Theory Test","multiple_choice","Slippery road sign:","Beginner","Slippery road sign:","Reduce speed","Speed","Stop engine","",0,"A slippery road sign (wavy line or car skidding) warns of reduced traction. Reduce speed and avoid sudden braking or turns.","",
,"Driving Theory Test","multiple_choice","Curve ahead sign:","Beginner","Curve ahead sign:","Slow down","Speed","Ignore","",0,"A curve ahead sign warns that the road bends. Slow down before entering the curve to maintain control.","",
,"Driving Theory Test","multiple_choice","Merging traffic sign:","Beginner","Merging traffic sign:","Prepare merge","Stop","Reverse","",0,"A merging traffic sign warns that another lane of traffic will join yours. Be prepared to adjust speed or change lanes to allow smooth merging.","",
,"Driving Theory Test","multiple_choice","Lane ends sign:","Beginner","Lane ends sign:","Merge safely","Stop","Speed","",0,"When a lane ends, drivers in the ending lane must merge safely into the adjacent lane. Do not stop in the lane; signal and find a gap.","",
,"Driving Theory Test","multiple_choice","Divided highway sign:","Beginner","Divided highway sign:","Stay right","Cross median","Stop","",0,"A divided highway sign indicates a median or barrier separates opposing traffic. Do not cross the median; stay in your lane.","",
,"Driving Theory Test","multiple_choice","Hospital sign:","Beginner","Hospital sign:","Watch entrance","Speed","Ignore","",0,"A hospital sign (often blue with 'H') warns of possible ambulance or pedestrian traffic near a hospital entrance. Be alert and yield to emergency vehicles.","",
,"Driving Theory Test","multiple_choice","No passing zone sign:","Beginner","No passing zone sign:","Do not pass","Pass","Turn","",0,"A no passing zone sign (often a pennant shape) indicates that passing is prohibited due to limited sight distance or curves. Do not attempt to pass.","",
,"Driving Theory Test","multiple_choice","Right lane must turn sign:","Beginner","Right lane must turn sign:","Must turn","Optional","Ignore","",0,"When a lane is marked with a mandatory turn arrow (e.g., 'Right Lane Must Turn Right'), you are required to turn. Going straight from that lane is illegal.","",
,"Driving Theory Test","multiple_choice","One way sign:","Beginner","One way sign:","One direction","Two way","Stop","",0,"A one-way sign indicates that traffic flows in only one direction. Do not enter from the wrong end or drive opposite to the arrow.","",
,"Driving Theory Test","multiple_choice","Do not enter sign:","Beginner","Do not enter sign:","Wrong way","Allowed","Parking","",0,"A 'Do Not Enter' sign marks an exit ramp or wrong-way entrance. Entering means you are driving against traffic — extremely dangerous and illegal.","",
,"Driving Theory Test","multiple_choice","Detour sign:","Beginner","Detour sign:","Follow new route","Ignore","Stop","",0,"Detour signs direct you around road closures, construction, or hazards. Follow the indicated route to reach your destination safely.","",
,"Driving Theory Test","multiple_choice","Traffic backed at railroad:","Beginner","Traffic backed at railroad:","Do not stop on tracks","Stop","Park","",0,"Never stop your vehicle on railroad tracks, even in heavy traffic. If traffic is backed up, wait before crossing to ensure you can clear the tracks completely.","",
,"Driving Theory Test","multiple_choice","Driving without license:","Beginner","Driving without license:","Illegal","Allowed","Optional","",0,"Driving without a valid driver's license is illegal in all states. It can result in fines, vehicle impoundment, and even jail time.","",
,"Driving Theory Test","multiple_choice","Expired license driving:","Beginner","Expired license driving:","Illegal","Ok","Optional","",0,"Driving with an expired license is treated similarly to driving without a license. It is illegal and results in fines.","",
,"Driving Theory Test","multiple_choice","Minor crash move vehicle?","Beginner","Minor crash move vehicle?","If safe yes","Never","Run","",0,"In a minor fender bender with no injuries, move vehicles off the road to a safe location if possible. This prevents further crashes and traffic jams.","",
,"Driving Theory Test","multiple_choice","Exchange info crash?","Beginner","Exchange info crash?","Required","No","Optional","",0,"All drivers involved in a crash must exchange name, address, insurance, and registration information. Leaving without exchanging info is a hit-and-run.","",
,"Driving Theory Test","multiple_choice","Hazard lights use:","Beginner","Hazard lights use:","Emergency stopped","Normal driving","Turn","",0,"Use hazard lights only when your vehicle is stopped or disabled on the roadside, or to warn others of a sudden slowdown ahead. Not for normal driving.","",
,"Driving Theory Test","multiple_choice","Secure loads in vehicle?","Beginner","Secure loads in vehicle?","Yes","No","Optional","",0,"All cargo must be securely fastened to prevent shifting, spilling, or falling off. Unsecured loads are dangerous and illegal.","",
,"Driving Theory Test","multiple_choice","Overloading vehicle:","Beginner","Overloading vehicle:","Illegal","Ok","Encouraged","",0,"Exceeding your vehicle's gross vehicle weight rating (GVWR) reduces braking ability, damages tires/suspension, and is illegal.","",
,"Driving Theory Test","multiple_choice","Driving barefoot:","Beginner","Driving barefoot:","Legal but unsafe","Illegal","Required","",0,"Barefoot driving is legal in all states but not recommended. Bare feet may slip off pedals and reduce control — safer to wear shoes.","",
,"Driving Theory Test","multiple_choice","Littering from car:","Beginner","Littering from car:","Illegal","Allowed","Encouraged","",0,"Throwing litter from a vehicle is illegal in all states, with fines that can exceed $1000. It harms the environment and is a safety hazard.","",
,"Driving Theory Test","multiple_choice","Obey pavement markings?","Beginner","Obey pavement markings?","Yes","No","Optional","",0,"Pavement markings (lanes, arrows, crosswalks) are legally binding. Failure to obey can result in tickets and crashes.","",
,"Driving Theory Test","multiple_choice","Stop line means:","Beginner","Stop line means:","Stop before line","After","Ignore","",0,"A stop line (thick white line across your lane) indicates where you must stop at a stop sign or red light. Stopping after the line is a violation.","",
,"Driving Theory Test","multiple_choice","Crosswalk lines mean:","Beginner","Crosswalk lines mean:","Yield pedestrians","Speed","Park","",0,"Crosswalk markings indicate pedestrian crossing zones. You must yield to pedestrians in or approaching the crosswalk. Do not block crosswalks.","",
,"Driving Theory Test","multiple_choice","What should you do when approaching a yellow light?","Beginner","What should you do when approaching a yellow light?","Speed up","Stop if safe","Ignore","",1,"A yellow light warns that red is coming. You must stop if you can do so safely before the intersection. If already too close to stop safely, proceed with caution.",""
