id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
771,"Daily Life Topics",35,usage_cases,"Pick and pack",Beginner,,"To select items from shelves and put them in boxes for shipping",,,,,,,,"The warehouse team picks and packs about 500 orders per day.",,,,"Accuracy is more important than speed.","Accuracy is more important than speed."
772,"Daily Life Topics",35,usage_cases,"Quality control",Intermediate,,"Checking products to make sure they meet standards",,,,,,,,"The item failed quality control because of a scratch.",,,,"QC is often a separate department.","QC is often a separate department."
773,"Daily Life Topics",35,usage_cases,"Assembly line",Intermediate,,"A sequence of workers and machines where each person adds a part",,,,,,,,"Working on the assembly line is repetitive but fast-paced.",,,,"Each worker has one specific task.","Each worker has one specific task."
774,"Daily Life Topics",35,deep_dive,"Lean manufacturing",Intermediate,,"A production method focused on reducing waste and increasing efficiency",,,,,,,,"Toyota invented lean manufacturing. \br ""Just-in-time"" means parts arrive exactly when needed.","Toyota invented lean manufacturing. \br ""Just-in-time"" means parts arrive exactly when needed.",,,,
775,"Daily Life Topics",35,usage_cases,Attendance,Intermediate,,"Being present at work or school",,,,,,,,"Your attendance record shows three absences this month.",,,,"Tardy = late. Absent = not there.","Tardy = late. Absent = not there."
776,"Daily Life Topics",35,gap_fill,"School - Raising Hand",Beginner,,,"you need to ______ your hand before speaking",,,,,raise,,"Please raise your hand if you know the answer.",,,,,
777,"Daily Life Topics",35,gap_fill,"School - Final Exam",Beginner,,,"the final exam counts for 50 ______ of our grade",,,,,percent,,"The final is 40% of your grade, so study hard.",,,,,
778,"Daily Life Topics",35,gap_fill,"School - Hall Pass",Beginner,,,"you need a ______ ______ to leave the classroom",,,,,"hall pass",,"Can I have a hall pass? I need to go to the nurse.",,,,,
779,"Daily Life Topics",35,formula_table,"Classroom Requests",Beginner,,"Polite phrases for students \br regular \br May I + [verb] + please?",,,,,,,,,,,,,
780,"Daily Life Topics",35,formula_table,"School Subjects (Present Simple)",Beginner,,"Talking about your classes \br regular \br Subject + has/have + [class] + on + [day]",,,,,,,,,,,,,
781,"Daily Life Topics",35,deep_dive,"How to study for a test",Intermediate,,"Active recall, spaced repetition, practice questions",,,,,,,,,,,,,
782,"Daily Life Topics",35,usage_cases,Enroll,Intermediate,,"To officially join a class or school",,,,,,,,"I want to enroll in the advanced English course.",,,,"You enroll in a course/school. You register for a class.","You enroll in a course/school. You register for a class."
783,"Daily Life Topics",35,usage_cases,Syllabus,Intermediate,,"A document that outlines the course topics",,,,,,,,,,,,"The syllabus says no late work accepted.","The syllabus says no late work accepted."
784,"Daily Life Topics",35,usage_cases,Plagiarism,Advanced,,"Using someone else's work without giving credit",,,,,,,,"Plagiarism can get you expelled from school.",,,,"Paraphrasing still requires citation if the idea isn't yours.","Paraphrasing still requires citation if the idea isn't yours."
785,"Daily Life Topics",35,usage_cases,Scholarship,Intermediate,,"Free money for school based on merit or need",,,,,,,,"I applied for a scholarship to help pay tuition.",,,,"Grants = need-based. Scholarships = merit-based usually.","Grants = need-based. Scholarships = merit-based usually."
786,"Daily Life Topics",35,usage_cases,Internship,Intermediate,,"A temporary job to gain experience",,,,,,,,"I did a summer internship at a marketing agency.",,,,"Internships can lead to full-time job offers.","Internships can lead to full-time job offers."
787,"Daily Life Topics",35,usage_cases,Major,Intermediate,,"The main subject a student studies in college",,,,,,,,"I declared my major as computer science.",,,,"Minor = secondary subject.","Minor = secondary subject."
788,"Daily Life Topics",35,usage_cases,Campus,Intermediate,,"The buildings and grounds of a college or university",,,,,,,,"The campus has a library",,,,"I live off campus, about a 15-minute walk away.","I live off campus, about a 15-minute walk away."
789,"Daily Life Topics",35,gap_fill,"School - Drop a Class",Beginner,,,"i had to ______ the class because it was too difficult",,,,,drop,,"I'm going to drop chemistry and take biology instead.",,,,,
790,"Daily Life Topics",35,gap_fill,"School - Prerequisite",Intermediate,,,"you have to take math 101 as a ______ for math 201",,,,,prerequisite,,"Calculus has a prerequisite of pre-calculus or algebra.",,,,,
791,"Daily Life Topics",35,formula_table,"College Application Process",Intermediate,,"Steps to apply to university \br regular \br first + then + finally",,,,,,,,,,,,,
792,"Daily Life Topics",35,deep_dive,"Financial aid explained",Intermediate,,"Money to help pay for college including grants",,,,,,,,,,,,,"Scholarships are also free money but based on merit (grades, sports, etc.)."
793,"Daily Life Topics",35,usage_cases,Patient,Intermediate,,"A person receiving medical treatment",,,,,,,,"The patient is waiting to see the doctor.",,,,"""Outpatient"" = not staying overnight. ""Inpatient"" = staying in hospital.","""Outpatient"" = not staying overnight. ""Inpatient"" = staying in hospital."
794,"Daily Life Topics",35,usage_cases,Appointment,Intermediate,,"A scheduled time to see a doctor or specialist",,,,,,,,"I need to make an appointment with my dentist.",,,,"Cancel 24 hours in advance or pay a fee.","Cancel 24 hours in advance or pay a fee."
795,"Daily Life Topics",35,usage_cases,Refill,Intermediate,,"A replacement supply of medicine",,,,,,,,"I need a refill on my blood pressure medication.",,,,"Most prescriptions have 3-6 refills before needing a doctor's visit.","Most prescriptions have 3-6 refills before needing a doctor's visit."
796,"Daily Life Topics",35,gap_fill,"Hospital - Triage",Beginner,,,"the nurse will ______ patients based on how urgent their condition is",,,,,triage,,"In the ER, a heart attack patient gets triaged ahead of someone with a sprained ankle.",,,,,
797,"Daily Life Topics",35,formula_table,"Doctor's Questions (Present Perfect)",Intermediate,,"Asking about duration of symptoms \br regular \br How long + have/has + been + verb-ing?",,,,,,,,,,,,,
798,"Daily Life Topics",35,usage_cases,Order,Intermediate,,"A request for food or products (restaurant or retail)",,,,,,,,"I placed an order for a coffee and sandwich.",,,,"""On order"" = you ordered it but haven't received it yet.","""On order"" = you ordered it but haven't received it yet."
799,"Daily Life Topics",35,usage_cases,Refund,Intermediate,,"Getting your money back for a returned product",,,,,,,,"I returned the shoes and got a full refund.",,,,"Store credit = money you can only spend in that store.","Store credit = money you can only spend in that store."
800,"Daily Life Topics",35,usage_cases,Exchange,Intermediate,,"Swapping a product for a different size or color",,,,,,,,"Can I exchange this for a medium? It's too small.",,,,"You need the original receipt for most exchanges.","You need the original receipt for most exchanges."
801,"Daily Life Topics",35,gap_fill,"Retail - Receipt",Beginner,,,"can i have a ______ please",,,,,receipt,,"Here's your receipt. Your warranty is valid for one year.",,,,,
802,"Daily Life Topics",35,gap_fill,"Retail - Clearance",Beginner,,,"these items are on ______ for 50% off",,,,,clearance,,"The clearance section is in the back of the store. Everything is 40-70% off.",,,,,
803,"Daily Life Topics",35,formula_table,"Retail - Helping a Customer",Beginner,,"Polite retail phrases \br regular \br Are you looking for + something specific?",,,,,,,,,,,,,
804,"Daily Life Topics",35,usage_cases,Blueprint,Intermediate,,"A detailed technical drawing showing how to build something",,,,,,,,"The construction workers follow the blueprint every day.",,,,"Make copies of blueprints so originals stay clean.","Make copies of blueprints so originals stay clean."
805,"Daily Life Topics",35,usage_cases,"Hard hat",Intermediate,,"A protective helmet worn on construction sites",,,,,,,,"Hard hat required beyond this point.",,,,"Hard hats expire. Check the date inside.","Hard hats expire. Check the date inside."
806,"Daily Life Topics",35,usage_cases,Harness,Intermediate,,"Safety straps that prevent a worker from falling",,,,,,,,"You need to wear a harness when working on the scaffold.",,,,"Inspect harness for cuts or damage before each use.","Inspect harness for cuts or damage before each use."
807,"Daily Life Topics",35,gap_fill,"Construction - Tool Name",Beginner,,,"hand me the ______ to hit this nail",,,,,hammer,,"Can you pass me the hammer? This nail is stubborn.",,,,,
808,"Daily Life Topics",35,gap_fill,"Construction - Measurement",Beginner,,,"i need to ______ the wood before cutting it",,,,,measure,,"Let me measure this again. I think my first measurement was wrong.",,,,,
809,"Daily Life Topics",35,formula_table,"Construction Commands (Imperatives)",Beginner,,"Direct instructions for safety \br regular \br [verb] + [object] + [location]",,,,,,,,,,,,,
810,"Daily Life Topics",35,usage_cases,"Time sheet",Intermediate,,"A form to record hours worked",,,,,,,,"Fill out your time sheet before Friday.",,,,"Submit time sheets on time to get paid.","Submit time sheets on time to get paid."
811,"Daily Life Topics",35,usage_cases,"PTO (Paid Time Off)",Intermediate,,"Vacation days that you get paid for",,,,,,,,"I have two weeks of PTO saved up.",,,,"Use PTO before it expires. Some companies have ""use it or lose it"" policies.","Use PTO before it expires. Some companies have ""use it or lose it"" policies."
812,"Daily Life Topics",35,usage_cases,"Direct deposit",Intermediate,,"Payment sent automatically to your bank account",,,,,,,,"I signed up for direct deposit so I don't have to cash checks.",,,,"You need your bank routing and account numbers to set this up.","You need your bank routing and account numbers to set this up."
813,"Daily Life Topics",35,usage_cases,"ID badge",Intermediate,,"A card with your photo and name for building access",,,,,,,,"Scan your ID badge to enter the building.",,,,"Wear your badge above the waist where security can see it.","Wear your badge above the waist where security can see it."
814,"Daily Life Topics",35,usage_cases,"Non-disclosure agreement (NDA)",Advanced,,"A legal contract to keep company information secret",,,,,,,,"Everyone signed an NDA before starting the project.",,,,"Breaking an NDA can get you sued or fired.","Breaking an NDA can get you sued or fired."
815,"Daily Life Topics",35,gap_fill,"Workplace - Resignation Submission",Intermediate,,,"I am writing to ______ my resignation",,,,,submit,,"Please accept this letter as my formal resignation, effective two weeks from today.",,,,,
816,"Daily Life Topics",35,formula_table,"Asking for Clarification in Meetings",Beginner,,"Polite phrases when you don't understand \br regular \br Could you + please + rephrase/elaborate?",,,,,,,,,,,,,
817,"Daily Life Topics",35,deep_dive,"How to ask for a raise",Intermediate,,"Prepare, time it right, use data, practice",,,,,,,,,,,,,
818,"Daily Life Topics",35,multiple_choice,"Office - Late to Meeting",Beginner,"You are 5 minutes late to a meeting. What do you say?",,,"Sorry I'm late. Traffic was bad.","I'm here now.","You started without me?","It doesn't matter.",0,"Apologize briefly and give a short reason. Don't make excuses or blame others.",,,,,,
819,"Daily Life Topics",35,multiple_choice,"Office - Asking for Vacation",Intermediate,"How do you request time off from your manager?",,,"Could I request a few days off next month?","I'm not coming next week.","I need vacation.","Book me off.",0,"Politely request using 'Could I' or 'May I'. Give advance notice.",,,,,,
820,"Daily Life Topics",35,multiple_choice,"Office - Computer Problem",Beginner,"Your computer won't turn on. Who do you call?",,,"IT support.","Your manager.","The CEO.","The custodian.",0,"IT support handles technology problems. Most companies have a help desk number or ticket system.",,,,,,
821,"Daily Life Topics",35,multiple_choice,"Office - Answering Phone",Beginner,"You answer a call at work. What do you say?",,,"Good morning ABC Company. This is Maria speaking.",Hello?,"Who is this?",Yeah?,0,"State the company name and your name. It sounds professional and helps the caller know they dialed correctly.",,,,,,
822,"Daily Life Topics",35,multiple_choice,"Factory - Safety First",Beginner,"You see a coworker not wearing safety goggles. What do you say?",,,"Hey don't forget your safety goggles. It's the rule.","I don't care what you do.","You're going to get fired.","Mind your own business.",0,"Politely remind them of safety rules. It protects everyone, including you.",,,,,,
823,"Daily Life Topics",35,multiple_choice,"Factory - Machine Problem",Intermediate,"A machine starts making a strange noise. What do you do?",,,"Stop the machine and tell your supervisor.","Keep using it.","Try to fix it yourself.","Ignore it.",0,"Safety first. Stop the machine and report it. Never fix machinery unless you're trained.",,,,,,
824,"Daily Life Topics",35,multiple_choice,"Factory - Heavy Lifting",Beginner,"A box is too heavy for you to lift alone. What do you say?",,,"Could you help me lift this? It's too heavy alone.","I can't do this.","Someone come here.","This is impossible.",0,"Ask for help directly. Lifting alone can cause injury. Team lifting is safer.",,,,,,
825,"Daily Life Topics",35,multiple_choice,"School - Late to Class",Beginner,"You arrive 10 minutes late to class. What do you do?",,,"Quietly enter and sit down. Apologize to the teacher after class.","Walk in loudly and announce you're here.","Don't go in at all.","Blame your parents.",0,"Enter quietly to avoid disturbing other students. Apologize after class, not during the lesson.",,,,,,
826,"Daily Life Topics",35,multiple_choice,"School - Forgot Homework",Beginner,"You forgot your homework. What do you say to the teacher?",,,"I'm sorry. I forgot my homework. Can I bring it tomorrow?","I did it but I lost it.","It's not my fault.","Everyone else forgot too.",0,"Be honest and take responsibility. Offer a solution (bring it tomorrow). Lying makes it worse.",,,,,,
827,"Daily Life Topics",35,multiple_choice,"School - Group Project",Intermediate,"A group member isn't doing their share of the work. What do you say to them?",,,"Can we divide the tasks more clearly? I want to make sure everyone knows their part.","You never do anything.","I'll do everything myself.","I'm telling the teacher.",0,"Address the problem directly but politely. Focus on solutions, not blame.",,,,,,
828,"Daily Life Topics",35,multiple_choice,"School - Asking for Help",Beginner,"You don't understand the math lesson. What do you say to the teacher?",,,"Could you explain that again? I didn't fully understand.","This makes no sense.","You're going too fast.","I give up.",0,"Politely ask for clarification. Most teachers are happy to help students who ask.",,,,,,
829,"Daily Life Topics",35,multiple_choice,"Construction - PPE",Intermediate,"What does PPE stand for?",,,"Personal Protective Equipment.","Public Protection Equipment.","Professional Practice Exam.","Power Processing Equipment.",0,"PPE = hard hat, safety glasses, high-vis vest, gloves, steel-toe boots, hearing protection.",,,,,,
830,"Daily Life Topics",35,multiple_choice,"Construction - Fall Protection",Intermediate,"At what height is fall protection required?",,,"Usually 6 feet (2 meters) or higher.","Any height.","Only above 50 feet.","Fall protection is optional.",0,"OSHA (US) requires fall protection at 6 feet. Construction is one of the most dangerous jobs because of falls.",,,,,,
831,"Daily Life Topics",35,multiple_choice,"Park - Leave No Trace",Beginner,"What does 'leave no trace' mean?",,,"Take all your trash with you. Leave the park as clean as you found it.","Leave food for animals.","Carve your name into a tree.","Pick wildflowers.",0,"The principle is: don't leave any evidence you were there. Pack it in, pack it out.",,,,,,
832,"Daily Life Topics",35,multiple_choice,"Bicycle - Hand Signals",Beginner,"What does your left arm straight out to the side mean?",,,"I am turning left.","I am turning right.","I am stopping.","I am slowing down.",0,"Hand signals tell drivers what you plan to do. Left arm straight out = left turn. Left arm bent up = right turn. Left arm bent down = stop.",,,,,,
833,"Daily Life Topics",35,multiple_choice,"Bicycle - Right of Way",Intermediate,"Who goes first at a 4-way stop when you're on a bike?",,,"The person who arrived first","like a car.","Bikes always go first.","Cars always go first.",0,0,,,,,,
834,"Daily Life Topics",35,multiple_choice,"Cooking - Knife Safety",Beginner,"What should you never do with a knife?",,,"Catch a falling knife.","Cut away from your body.","Use a cutting board.","Keep knives sharp.",0,"A falling knife has no handle. Let it fall. Moving your hand to catch it is how people get severe cuts.",,,,,,
835,"Daily Life Topics",35,multiple_choice,"Cooking - Smoke Point",Intermediate,"What happens when oil reaches its 'smoke point'?",,,"The oil starts smoking",burning,"and releasing harmful chemicals.","The oil becomes healthier.",0,"The oil doubles in volume.",,,,,,
836,"Daily Life Topics",35,multiple_choice,"Cooking - Food Safety",Intermediate,"What is the 'danger zone' temperature for food?",,,"Between 40°F and 140°F (4°C - 60°C). Bacteria grows fastest here.","Below 32°F.","Above 200°F.","Any temperature is safe.",0,"Don't leave cooked food at room temperature for more than 2 hours. In hot weather, 1 hour. Refrigerate leftovers quickly.",,,,,,
837,"Daily Life Topics",35,multiple_choice,"Restaurant - Server Mistake",Beginner,"A server brings you the wrong dish. What do you say?",,,"Excuse me I ordered the fish not the chicken.","This is wrong.","I'm not eating this.","You messed up.",0,"Politely state the error and what you ordered. Don't be rude. Mistakes happen.",,,,,,
838,"Daily Life Topics",35,multiple_choice,"Restaurant - Allergy",Intermediate,"You have a severe nut allergy. What do you tell the server?",,,"I have a severe nut allergy. Can you tell the chef?","No nuts.","I'll die if there are nuts.","Don't put nuts in my food.",0,"State the allergy clearly and ask them to tell the chef directly. Some kitchens have allergy protocols.",,,,,,
839,"Daily Life Topics",35,multiple_choice,"Restaurant - Tipping",Intermediate,"In the US what is the standard tip at a sit-down restaurant?",,,"15-20% of the pre-tax bill.","10% or less.","Whatever coins you have.","No tip ever.",0,"Servers in the US rely on tips because their base wage is low (often $2-5/hour). 18-20% is now common for good service.",,,,,,
