id,set,type,title,level,question_text,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
,English Vocabulary: Work & Life,multiple_choice,Restaurant - Tipping,Intermediate,In the US what is the standard tip at a sit-down restaurant?,,15-20% of the pre-tax bill.,10% or less.,Whatever coins you have.,No tip ever.,0,"Servers in the US rely on tips because their base wage is low (often $2-5/hour). 18-20% is now common for good service.","The service was excellent. I tipped 25% on a $50 bill = $12.50.","For average service, I tip 18%. For bad service, 10-15% depending.",,,,
,English Vocabulary: Work & Life,gap_fill,Office - Email Sign-off,Beginner,,Please let me know if you have any ______.,questions,concerns,problems,issues,questions,"Common professional sign-offs: 'Please let me know if you have any questions.'","Best regards, Thomas. Please let me know if you need anything else.","Feel free to reach out if you have any questions.",,,,
,English Vocabulary: Work & Life,gap_fill,Office - CC in Email,Beginner,,Please ______ me on that email.,CC,ccopy,carbon,include,CC,"'CC' means carbon copy. It sends a copy to someone who needs to see it but isn't the main recipient.","Please CC my manager so she knows the status.","CC the whole team on the update.",,,,
,English Vocabulary: Work & Life,gap_fill,Office - Voicemail,Beginner,,Please leave a ______ after the beep.,message,voicemail,recording,note,message,"The standard voicemail greeting: 'You've reached [name]. I'm unavailable. Please leave a message after the beep.'","You've reached John. I'm away from my desk. Please leave your name and number.","Hi this is Maria. I'm either on the phone or away from my desk. Leave a message and I'll call you back.",,,,
,English Vocabulary: Work & Life,gap_fill,Factory - Safety Gear,Intermediate,,You must wear ______ protection in this area.,hearing,ear,sound,noise,hearing,"'Hearing protection' = earplugs or earmuffs. Factories with loud machines require this.","Hearing protection is mandatory beyond this yellow line.","If it's too loud to talk normally, you need hearing protection.",,,,
,English Vocabulary: Work & Life,gap_fill,Factory - Inventory,Intermediate,,We need to ______ the parts before the next shift.,count,inventory,check,verify,count,"'Count inventory' = count how many items you have. Done at shift start or end.","Can you count the bolts? We need 500 for tomorrow's order.","Let's do inventory before the truck arrives.",,,,
,English Vocabulary: Work & Life,gap_fill,School - Raising Hand,Beginner,,You need to ______ your hand before speaking.,raise,put up,hold up,lift,raise,"In most classrooms, you raise your hand to get the teacher's attention. Don't shout out.","Please raise your hand if you know the answer.","Raise your hand if you have a question.",,,,
,English Vocabulary: Work & Life,gap_fill,School - Final Exam,Intermediate,,The final exam counts for 50 ______ of our grade.,percent,percentage,points,marks,percent,"'Percent' = per hundred. If the exam is 50%, it's half your total grade.","The final is 40% of your grade, so study hard.","Attendance is 10% of your grade. Homework is 20%.",,,,
,English Vocabulary: Work & Life,gap_fill,School - Hall Pass,Beginner,,You need a ______ ______ to leave the classroom.,hall pass,hallpass,hall pass,hall ticket,hall pass,"A hall pass is a note or lanyard that shows permission to be in the hallway during class.","Can I have a hall pass? I need to go to the nurse.","Don't leave the room without a hall pass.",,,,
,English Vocabulary: Work & Life,gap_fill,Construction - Hard hat area,Beginner,,Hard hat ______ area.,required,must,mandatory,needed,required,"'Hard hat required' or 'Hard hat area' means you cannot enter without one.","Hard hat required beyond this point. Violators will be removed from site.","Hard hat area. Safety glasses also required.",,,,
,English Vocabulary: Work & Life,gap_fill,Construction - Tool Belt,Beginner,,Every carpenter needs a tool ______.,belt,pouch,holster,apron,belt,"A tool belt or tool pouch holds hammer, tape measure, nail gun, pencil, and other tools.","He reached into his tool belt and pulled out a tape measure.","My tool belt is too heavy. I need to take out some tools.",,,,
,English Vocabulary: Work & Life,gap_fill,Construction - Blueprint symbol,Intermediate,,The ______ symbol on the blueprint shows where the electrical outlet goes.,triangle,circle,square,line,circle,"On electrical blueprints, a circle usually represents an outlet or light fixture. Different symbols = different things.","The architect put a circle here. That means a floor outlet, not a wall outlet.","What does this triangle symbol mean on the blueprint?",,,,
,English Vocabulary: Work & Life,gap_fill,Bicycle - Flat Tire,Beginner,,I have a ______ tire.,flat,deflated,low,empty,flat,"'Flat tire' means no air. You can fix it with a patch kit or replace the inner tube.","I ran over a nail and got a flat tire five miles from home.","My front tire is flat. Do you have a pump?",,,,
,English Vocabulary: Work & Life,gap_fill,Bicycle - Bell,Beginner,,Use your bell to ______ pedestrians.,alert,warn,signal,caution,alert,"Politely ring your bell to let pedestrians know you're passing. Say 'On your left' as you pass.","I rang my bell and said 'Passing on your left.'","Give a little ring so people know you're there.",,,,
,English Vocabulary: Work & Life,gap_fill,Cooking - Meat Doneness,Intermediate,,Cook the steak to ______ rare for a pink center.,medium,mid,mid-rare,med,medium,"Medium rare = warm red center. Medium = pink center. Well done = no pink.","I'll have the steak medium rare. If it's well done I'll send it back.","Medium rare is the most popular doneness.",,,,
,English Vocabulary: Work & Life,gap_fill,Cooking - Oven Preheat,Beginner,,Always ______ the oven before putting the food in.,preheat,warm up,heat,start,preheat,"Preheat means turn the oven on early so it reaches the right temperature before you add food.","The cake failed because I didn't preheat the oven. The batter sat too long.","Preheat to 350 degrees. It takes about 10 minutes.",,,,
,English Vocabulary: Work & Life,gap_fill,Restaurant - Table Turn,Intermediate,,The server wants to ______ the table quickly so the next guests can sit.,turn,flip,clear,clean,turn,"'Turn a table' = seat a party, serve them, clear the table, and seat the next party. More turns = more money for the restaurant.","We only had 45 minutes for dinner because they needed to flip the table for a 7 PM reservation.","The faster we turn tables, the more money we make.",,,,
,English Vocabulary: Work & Life,gap_fill,Restaurant - Well done steak,Beginner,,If you order a steak well ______ it will be cooked through with no pink.,done,cooked,finished,prepared,done,"Well done = no pink, often tougher and drier than medium. Some chefs hate cooking well done steaks.","I know it's a waste, but I like my steak well done with ketchup. Don't judge me.","Well done means no pink in the middle.",,,,
,English Vocabulary: Work & Life,gap_fill,Restaurant - Corkage fee,Intermediate,,The restaurant charges a ______ fee if you bring your own wine.,corkage,uncorking,bringing,wine,corkage,"Corkage fee = money charged to open and serve a bottle you brought from home. Usually $10-25. Some restaurants don't allow outside wine.","The corkage fee is $20 per bottle, but the first bottle is free on Mondays.","You can bring your own wine, but there's a $15 corkage fee.",,,,
