id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip,image_url,description,audio_url,prompt,transcript,front_fields
,Prepositions - TIME & PLACE,,usage_cases,ON — Weekend (American English),A2,,Americans use ON the weekend,,,,,,,,I relax on the weekend.,What did you do on the weekend?,We often travel on the weekend.,,Same meaning as AT the weekend (British),Both ON and AT are correct depending on your dialect,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Day + Part of Day,A2,,Use ON when you combine a day with morning/afternoon/evening,,,,,,,,I'll see you on Monday morning.,She left on Friday afternoon.,We arrived on Sunday evening.,,To specify exactly when something happens,"Without the day, use IN (in the morning). With the day, use ON",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — My Birthday / That Day,A2,,"Use ON for ""my birthday"" and phrases like ""that day""",,,,,,,,I was born on my birthday.,"On that day, everything changed.",On the first day of school...,,Referring to specific personal dates,Any specific named day = ON,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,No Preposition — Last / Next / This / Every,A2,,"Do NOT use at/in/on with last, next, this, every, tomorrow, yesterday",,,,,,,,I'll see you next Friday. (not on next Friday),She called yesterday. (not at yesterday),We met last year. (not on last year),,These words already include time meaning,If you see last/next/this/every → drop the preposition completely,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT vs IN vs ON — Time Summary,B1,,"AT = precise time, ON = specific day, IN = longer period",,,,,,,,AT 5 PM / AT midnight / AT lunchtime,ON Monday / ON May 5th / ON Christmas Day,IN May / IN 2024 / IN summer / IN the morning,,Quick decision guide,"AT is a point, ON is a day, IN is a container",,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,AT or IN or ON — Meeting Time,A2,The meeting starts ______ 9 AM.,,,in,on,at,for,2,AT is used for specific clock times.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,IN or ON — Month,A2,My birthday is ______ May.,,,at,on,in,during,2,IN is used for months.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,ON or IN — Day,A2,Let's meet ______ Friday.,,,in,at,on,by,2,ON is used for days of the week.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Preposition for Year,A2,She was born ______ 2005.,,,on,at,in,since,2,IN is used for years.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Night Exception,A2,I can't sleep ______ night.,,,in,on,at,during,2,We always say AT night.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Christmas Day vs Christmas Season,A2,We open presents ______ Christmas Day.,,,at,in,on,during,2,"ON is used when ""Day"" is included.",,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Christmas Season,A2,We visit family ______ Christmas.,,,on,in,at,by,2,"AT is used for holidays/season without ""Day"".",,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Tuesday Morning,A2,I'll see you ______ Tuesday morning.,,,in,on,at,during,1,ON + day + part of day.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Summer,A2,We go to the beach ______ summer.,,,at,on,in,by,2,IN is used for seasons.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Weekend (US),A2,What are you doing ______ the weekend? (American English),,,at,in,on,during,2,Americans say ON the weekend.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Weekend (UK),A2,What are you doing ______ the weekend? (British English),,,in,on,at,over,2,British English uses AT the weekend.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Next Friday — Preposition?,A2,I'll see you ______ next Friday.,,,on,at,in,(no preposition),3,No preposition with next/last/this/every.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Duration,A2,She finished the race ______ 2 hours.,,,at,on,in,by,2,IN = after this amount of time / within.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Afternoon,A2,I work ______ the afternoon.,,,at,on,in,during,2,IN the morning/afternoon/evening.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,multiple_choice,Precise Time vs Period,A2,Choose the correct sentence:,,,I wake up on 7 AM.,I wake up in 7 AM.,I wake up at 7 AM.,I wake up by 7 AM.,2,AT is for clock times.,,,,,,,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT — Specific Points & Locations,A2,,"Use AT for specific points, addresses, or exact locations",,,,,,,,Meet me at the bus stop.,She lives at 25 Main Street.,Turn left at the traffic light.,,When thinking of a place as a point on a map,"AT = a precise point, not an area",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT — Events & Gatherings,A2,,"Use AT for events, concerts, parties, meetings",,,,,,,,I saw her at the concert.,We met at a party.,He spoke at the conference.,,When you're attending something,AT the cinema/theater/museum (as an event destination),,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT — Top / Bottom / End of something,A2,,Use AT for extremities of objects,,,,,,,,Write your name at the top of the page.,There's a signature at the bottom.,My house is at the end of the street.,,Position at an edge or limit,AT = a terminal point,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN — Enclosed Spaces,A2,,"Use IN for spaces with boundaries (rooms, boxes, buildings, countries)",,,,,,,,The keys are in my bag.,She's in the kitchen.,I live in Brazil.,,When something is inside a 3D space,IN = inside something with walls or borders,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN — Water bodies,A2,,"Use IN for oceans, seas, rivers, lakes, pools",,,,,,,,She swam in the ocean.,Don't pee in the pool.,Fish live in the river.,,Being submerged or inside the water,ON the water = on the surface (boat). IN = inside/immersed.,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN — Cities & Neighborhoods,A2,,"Use IN for cities, towns, neighborhoods, districts",,,,,,,,She lives in Tokyo.,There's a café in my neighborhood.,I work in Manhattan.,,A larger area that contains you,But say AT an address (point) vs IN a city (area),,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Surfaces,A2,,"Use ON for surfaces (tables, floors, walls, ceilings)",,,,,,,,The book is on the table.,Don't sit on the floor.,There's a painting on the wall.,,Something touching a flat surface,ON = in contact with a surface (not inside),,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Streets & Avenues,A2,,Use ON for street names (American English),,,,,,,,The store is on Main Street.,She lives on Elm Avenue.,Turn left on 5th Avenue.,,Describing location along a road,British English sometimes uses IN + street; American uses ON,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Public Transport,A2,,"Use ON for buses, trains, planes, ships",,,,,,,,She's on the bus.,I met her on the train.,We ate lunch on the plane.,,When you board a vehicle you can walk inside,But IN a car / IN a taxi (smaller vehicles),,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Body parts (not enclosed),A2,,Use ON for body parts (if not inside),,,,,,,,She has a ring on her finger.,He kissed me on the cheek.,I got a mosquito bite on my arm.,,Location on the surface of the body,"But something IN your mouth, IN your eye",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN vs ON — Car vs Bus,A2,,"Use IN for cars/taxis, ON for buses/trains/planes",,,,,,,,We drove in her car.,We rode on the bus.,She was in the taxi.,,Size and ability to stand up determines the preposition,"IN = small/private, ON = large/public",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT vs IN — Work / School,A2,,"AT work, AT school, AT home (general location); IN the office, IN the classroom (specific room)",,,,,,,,She's at work right now.,He's in the office.,The students are at school.,,AT = the institution; IN = the physical space,"AT = activity/function, IN = physical container",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Floor of a building,A2,,Use ON with floor numbers,,,,,,,,My apartment is on the 3rd floor.,The cafeteria is on the ground floor.,She lives on the top floor.,,Specifying which level,ON the floor = you're on that surface/level,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT — Home / Work / School,A2,,"Use AT with home, work, school (no article)",,,,,,,,I'm at home.,She's at work until 5.,The kids are at school.,,Common fixed phrases,"Never say ""AT the home"" — drop the article for these phrases",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Left / Right,A2,,Use ON for left and right sides,,,,,,,,The bank is on the left.,Turn on your right.,She sits on my left.,,Indicating direction or position,ON the left/right = position relative to something,,,,,,
,Prepositions - TO/FOR,,usage_cases,TO — Direction / Movement,A2,,Use TO to show movement toward a destination,,,,,,,,I'm going to the store.,She walked to school.,Send this email to your boss.,,When something or someone is going somewhere,"TO = toward, in the direction of",,,,,,
,Prepositions - TO/FOR,,usage_cases,TO — Receiver,A2,,Use TO for the person/thing that receives an action or object,,,,,,,,I gave the book to Maria.,Can you explain this to me?,She showed her ID to the guard.,,"Give, send, tell, show, explain + TO someone",After verbs of giving/communicating → use TO,,,,,,
,Prepositions - TO/FOR,,usage_cases,TO — Comparison / Ratio,A2,,"Use TO in comparisons (similar to, equal to, compared to)",,,,,,,,This is similar to that.,The score was 3 to 2.,I prefer tea to coffee.,,Showing relationship between two things,"""Prefer X TO Y"" is correct",,,,,,
,Prepositions - TO/FOR,,usage_cases,TO — Time (until),A2,,Use TO when telling time before the hour (US: OF),,,,,,,,It's ten to three. (2:50),Quarter to five. (4:45),Five minutes to midnight.,,Minutes to the next hour,"British: TO, American also uses OF (ten of three)",,,,,,
,Prepositions - TO/FOR,,usage_cases,FOR — Purpose / Function,A2,,Use FOR to explain the purpose of an object or action,,,,,,,,This knife is for cutting bread.,I use this app for learning English.,Let's go out for dinner.,,What is it used for?,"FOR = intended purpose. ""Use X for Y.""",,,,,,
,Prepositions - TO/FOR,,usage_cases,FOR — Benefit,A2,,Use FOR to show who benefits or receives something good,,,,,,,,I made this cake for you.,Can you carry this for me?,She works hard for her family.,,Doing something to help someone,FOR = on behalf of / to help,,,,,,
,Prepositions - TO/FOR,,usage_cases,FOR — Duration,A2,,Use FOR with a period of time (how long),,,,,,,,I lived there for three years.,She slept for eight hours.,Wait for five minutes.,,Duration of an action or state,FOR + length of time (SINCE + specific start time),,,,,,
,Prepositions - TO/FOR,,usage_cases,FOR — Reason / Cause,A2,,"Use FOR to give a reason (similar to ""because of"")",,,,,,,,This city is famous for its food.,She was punished for being late.,Thank you for your help.,,Explaining why something happened,FOR = due to / because of,,,,,,
,Prepositions - TO/FOR,,usage_cases,FOR — Exchange / Price,A2,,Use FOR with prices and exchanges,,,,,,,,I bought this for $20.,She traded her car for a bike.,You get a discount for paying cash.,,What you pay in exchange for something,Pay + money + FOR something,,,,,,
,Prepositions - TO/FOR,,usage_cases,TO vs FOR — Destination vs Purpose (Travel),B1,,"Use TO for destination (going to a place), FOR for purpose of trip",,,,,,,,I'm flying to London. (destination),I'm flying to London for work. (both),She came to the party for the food.,,I went TO Paris (destination) vs I went FOR a meeting (purpose),TO = where? / FOR = why?,,,,,,
,Prepositions - TO/FOR,,multiple_choice,TO vs FOR — Destination,A2,I'm flying ______ New York tomorrow.,,,for,to,at,in,1,TO is used for destinations/movement.,,,,,,,,,,,,
,Prepositions - TO/FOR,,multiple_choice,TO vs FOR — Benefit,A2,I made this cake ______ my sister.,,,to,for,at,with,1,FOR shows who benefits.,,,,,,,,,,,,
,Prepositions - TO/FOR,,multiple_choice,TO vs FOR — Receiver vs Benefit,B1,I gave the book ______ John. vs I bought the book ______ John.,,,to / to,for / for,to / for,for / to,2,"GIVE + TO (receiver), BUY + FOR (benefit).",,,,,,,,,,,,
,Prepositions - TO/FOR,,gap_fill,FOR — Price,A2,,,I bought these shoes ______ only $30.,,,,,,,,,,,,,,,,,,
,Prepositions - TO/FOR,,multiple_choice,Mixed TO/FOR Review,B1,Which sentence is CORRECT?,,,I went to the store for buy milk.,I went to the store to buy milk.,I went for the store to buy milk.,I went for the store for buy milk.,1,"TO + verb (purpose) or FOR + noun. ""To buy"" is correct.",,,,,,,,,,,,

