set_id,title,pattern_type,level,question_text,content_data
1,"HOW COME - Informal WHY",usage_cases,Intermediate,"Using HOW COME for casual questions about reason","{""usage1"":""Informal replacement for WHY"",""example1a"":""How come you're late? = Why are you late?"",""example1b"":""How come she didn't come? = Why didn't she come?"",""usage2"":""Grammar difference - no auxiliary needed"",""example2a"":""WHY: Why are you sad? (need auxiliary 'are')"",""example2b"":""HOW COME: How come you're sad? (no extra auxiliary, just subject + verb)"",""teacher_note"":""'How come' is very common in everyday speech. It's less formal than 'why' and doesn't follow the normal question word order with auxiliary verbs.""}"
1,"HOW ABOUT - Making Suggestions",usage_cases,Intermediate,"Using HOW ABOUT to offer or suggest something","{""usage1"":""Suggesting an activity"",""example1a"":""How about going to the cinema? = Que tal ir ao cinema?"",""example1b"":""How about we eat out tonight? = E se a gente jantar fora hoje?"",""usage2"":""Offering something"",""example2a"":""How about a coffee? = Que tal um café?"",""example2b"":""How about some help? = Aceita uma ajuda?"",""usage3"":""Form after HOW ABOUT"",""example3"":""How about + noun (How about a break?) OR How about + verb-ing (How about taking a break?)"",""teacher_note"":""Very common in spoken English for polite offers and suggestions. More natural than the formal 'Would you like to...?' in casual situations.""}"
1,"The 5W-1H Method for Projects",deep_dive,Intermediate,"Asking all six questions to understand any situation completely","{""bullets"":[""WHAT = the topic, action, or object → What will we sell?"",""WHY = the reason or goal → Why open a coffee shop?"",""WHO = the people involved → Who will work there?"",""WHERE = the place or location → Where will it be?"",""WHEN = the time or timeline → When will it open?"",""HOW = the method or process → How will we make coffee?""],""explanation"":""In business, school projects, and news reporting, professionals use the 5W-1H method to make sure they understand 100% of a situation. Start with any question, then ask all six. You'll never miss an important detail again!""}"
2,"The Probability Scale - Your Certainty Compass",formula_table,Beginner,"How sure are you? From 0% to 100%","{""formula"":""Modal verbs express different levels of certainty"",""affirmative"":""100% will / 95% must / 80% should / 60% could / 50% may / 30% might / 0% can't"",""negative"":""will not (won't) / must not (mustn't) / should not (shouldn't)"",""question"":""Will it rain? / Could he be right? / May I leave?"",""conjugations"":[{""person"":""100% Certain"",""aff"":""will"",""neg"":""won't"",""ques"":""Will it...?""},{""person"":""95% Certain (deduction)"",""aff"":""must"",""neg"":""can't"",""ques"":""Must it...?""},{""person"":""80% Likely"",""aff"":""should"",""neg"":""shouldn't"",""ques"":""Should it...?""},{""person"":""60% Possible"",""aff"":""could"",""neg"":""couldn't"",""ques"":""Could it...?""},{""person"":""50% Equal chance"",""aff"":""may"",""neg"":""may not"",""ques"":""May it...?""},{""person"":""30% Weak possibility"",""aff"":""might"",""neg"":""might not"",""ques"":""Might it...?""}]}"
2,"The Three Golden Rules of Modal Verbs",deep_dive,Beginner,"Three rules with NO exceptions that govern all modal verbs","{""bullets"":[""Rule 1 - NO CONJUGATION: Modals never change for he/she/it. ❌ He cans swim. ✅ He can swim."",""Rule 2 - BASE FORM AFTER MODAL: No 'to', no -ing, no past tense. ❌ I must to go. ✅ I must go."",""Rule 3 - NO 'DO/DOES' IN QUESTIONS/NEGATIVES: Move the modal to the front. ❌ Do you can help? ✅ Can you help?""],""explanation"":""Modal verbs are like Lego bricks - they click into place without changing shape. Once you learn these three rules, you never have to worry about -s, -ed, or -ing endings with modals. This makes them easier than regular verbs in many ways!""}"
2,"CAN - Ability, Permission, and Possibility",formula_table,Beginner,"All the ways to use CAN in English","{""formula"":""Subject + can + base verb"",""affirmative"":""I can swim. She can speak French."",""negative"":""I cannot (can't) swim. She can't drive."",""question"":""Can you help me? Can I borrow your pen?"",""conjugations"":[{""person"":""Ability (saber/conseguir)"",""aff"":""I can play piano"",""neg"":""I can't sing"",""ques"":""Can you cook?""},{""person"":""Permission (informal)"",""aff"":""You can go now"",""neg"":""You can't smoke here"",""ques"":""Can I leave early?""},{""person"":""Request"",""ques"":""Can you pass the salt?""},{""person"":""Offer"",""ques"":""Can I help you with that?""},{""person"":""General possibility"",""aff"":""It can get cold here"",""neg"":""That can't be true"",""ques"":""Can this really happen?""}]}"
2,"CAN - Common Mistakes for Portuguese Speakers",usage_cases,Intermediate,"Avoid these frequent errors when using CAN","{""usage1"":""Never use CAN for future specific guesses"",""example1a"":""❌ It can rain tomorrow. ✅ It may/might/could rain tomorrow."",""example1b"":""Can is for general truths: 'It can rain a lot in winter' (always true)"",""usage2"":""Never add 'to' after CAN"",""example2a"":""❌ I can to swim. ✅ I can swim."",""example2b"":""The structure is modal + base verb - no infinitive!"",""usage3"":""Never conjugate CAN"",""example3"":""❌ He cans speak. ✅ He can speak."",""teacher_note"":""In Portuguese, 'poder' covers many situations. English splits these into CAN, COULD, MAY, MIGHT. Always ask: Am I talking about ability, permission, or possibility?""}"
2,"COULD - Polite Requests, Past Ability, Possibility",formula_table,Intermediate,"All the ways to use COULD in English","{""formula"":""Subject + could + base verb"",""affirmative"":""I could run fast when I was young. It could rain later."",""negative"":""I couldn't hear you. It couldn't be true."",""question"":""Could you help me? Could I borrow your car?"",""conjugations"":[{""person"":""Polite request"",""ques"":""Could you open the window?""},{""person"":""Past ability"",""aff"":""When I was 5, I could swim"",""neg"":""I couldn't read until I was 7"",""ques"":""Could you speak English as a child?""},{""person"":""Possibility (weaker than can)"",""aff"":""He could be at home"",""neg"":""He couldn't have done it"",""ques"":""Could she be telling the truth?""},{""person"":""Suggestion"",""aff"":""You could try restarting your phone"",""neg"":""You couldn't do that"",""ques"":""Could we leave earlier?""},{""person"":""Conditional"",""aff"":""If I had money, I could buy a car"",""neg"":""I couldn't go if I wanted to"",""ques"":""Could you do it if you tried?""}]}"
2,"CAN vs COULD - The Politeness and Probability Difference",deep_dive,Intermediate,"When to choose CAN versus COULD for requests and possibility","{""bullets"":[""REQUESTS - Politeness scale: CAN (40% casual) vs COULD (70% polite)"",""CAN you help me? (to a friend, direct)"",""COULD you help me? (to a stranger, more polite)"",""POSSIBILITY - Probability: CAN (80% likely as general truth) vs COULD (60% possible now)"",""'It can be dangerous here' = general truth (always dangerous)"",""'It could be dangerous tonight' = specific possibility (might be, might not)"",""PAST ABILITY: COULD for general past ability"",""'I could run fast when I was young' = many times, general ability"",""For one specific past achievement, use 'was able to' or 'managed to'"",""❌ It was hard but I could finish. ✅ It was hard but I managed to finish.""],""explanation"":""COULD is the softer, more polite, less certain version of CAN. Use it when you want to be more respectful or when you're less sure about something. In Brazilian Portuguese, 'poderia' is similar in politeness to 'could.'""}"
2,"MAY - Formal Permission and 50/50 Possibility",formula_table,Intermediate,"All the ways to use MAY in English","{""formula"":""Subject + may + base verb"",""affirmative"":""I may go to the party. She may be late."",""negative"":""I may not have time. She may not come."",""question"":""May I leave early? May I come in?"",""conjugations"":[{""person"":""Formal permission"",""aff"":""You may go now"",""neg"":""You may not smoke here"",""ques"":""May I speak to the manager?""},{""person"":""Possibility (50/50)"",""aff"":""We may go to the beach"",""neg"":""We may not have enough time"",""ques"":""May it be true?""},{""person"":""Wish/hope (fixed expressions)"",""aff"":""May you always be happy""}]}"
2,"MAY vs MIGHT - The Probability Difference",deep_dive,Intermediate,"Understanding the subtle difference between MAY (50%) and MIGHT (30%)","{""bullets"":[""MAY = 50% chance - real possibility, equally likely to happen or not"",""MIGHT = 30% chance - weaker possibility, less likely to happen"",""'I may go to the party' = I haven't decided, 50/50 chance"",""'I might go to the party' = It's possible but unlikely (30%)"",""In everyday speech, many native speakers use MIGHT for both"",""But the formal difference is important for exams and precise writing"",""MAY is also more formal for permission than MIGHT"",""'May I leave?' (formal, classroom) vs 'Might I suggest...?' (extremely formal, rare)""],""explanation"":""Think of a coin flip for MAY (50/50). Think of rolling a die and needing a 6 for MIGHT (about 17% - even less likely). The difference is small but real. In Brazilian Portuguese, both often translate as 'pode ser que' or 'talvez.'""}"
2,"MIGHT - Weak Possibility and Tentative Suggestions",formula_table,Intermediate,"All the ways to use MIGHT in English","{""formula"":""Subject + might + base verb"",""affirmative"":""I might come tomorrow. She might be stuck in traffic."",""negative"":""I might not have time. He might not remember."",""question"":""Might I suggest an alternative? (very formal)"",""conjugations"":[{""person"":""Weak possibility (30%)"",""aff"":""We might go to the cinema"",""neg"":""We might not have enough money"",""ques"":""Might it be true?""},{""person"":""Tentative suggestion"",""aff"":""You might want to apologise"",""neg"":""You might not want to say that""},{""person"":""Past possibility"",""aff"":""She might have missed the bus"",""neg"":""She might not have seen the message"",""ques"":""Might she have forgotten?""}]}"
2,"SHOULD - Advice, Expectation, and Regret",formula_table,Intermediate,"All the ways to use SHOULD in English","{""formula"":""Subject + should + base verb"",""affirmative"":""You should see a doctor. The train should arrive soon."",""negative"":""You shouldn't eat so much sugar. He shouldn't be late."",""question"":""Should I call her? Should we wait?"",""conjugations"":[{""person"":""Advice / Recommendation"",""aff"":""You should study more"",""neg"":""You shouldn't smoke"",""ques"":""Should I take the job?""},{""person"":""Expectation (80% sure)"",""aff"":""He should be home by now"",""neg"":""She shouldn't be long"",""ques"":""Should the bus be here yet?""},{""person"":""Past regret (should have)"",""aff"":""I should have studied harder"",""neg"":""I shouldn't have said that"",""ques"":""Should I have told her?""}]}"
2,"SHOULD vs MUST - Advice vs Obligation",deep_dive,Intermediate,"Understanding the strength difference between SHOULD and MUST","{""bullets"":[""SHOULD = recommendation, advice (80% strength) - you have a choice"",""MUST = obligation, necessity (100% strength) - no choice, it's required"",""'You should see a doctor' = I recommend it, but you decide"",""'You must wear a seatbelt' = It's the law, you have no choice"",""For logical deduction: MUST is 95% certain, SHOULD is 80% certain"",""'The lights are on - they must be home' (very sure)"",""'The train should arrive at 5 PM' (based on schedule, but delays possible)"",""Negative forms: shouldn't (advice against) vs must not (prohibition, forbidden)"",""'You shouldn't eat late' (advice) vs 'You must not enter' (you're not allowed)""],""explanation"":""Think of SHOULD as a strong suggestion and MUST as a command. In Brazilian Portuguese, 'você deveria' matches SHOULD, and 'você tem que' or 'você precisa' matches MUST.""}"
2,"MUST - Obligation and Logical Deduction",formula_table,Intermediate,"All the ways to use MUST in English","{""formula"":""Subject + must + base verb"",""affirmative"":""You must wear a helmet. She must be tired - she worked all night."",""negative"":""You must not (mustn't) touch that wire."",""question"":""Must I finish today? (rare - usually 'Do I have to?')"",""conjugations"":[{""person"":""Obligation (law/rule)"",""aff"":""Employees must wear ID"",""neg"":""You must not smoke here"",""ques"":""Must we arrive early?""},{""person"":""Logical deduction (95% sure)"",""aff"":""She's crying - she must be sad"",""neg"":""That can't be true - he's in Tokyo"",""ques"":""Must it be this way?""},{""person"":""Strong internal need"",""aff"":""I must finish this report"",""neg"":""I must not forget""}]}"
2,"MUST vs HAVE TO - Obligation from Inside vs Outside",deep_dive,Intermediate,"Understanding where the obligation comes from","{""bullets"":[""MUST = internal obligation (I feel I need to do this) OR very strong external rules"",""HAVE TO = external obligation (someone/something else requires it)"",""'I must finish this project' = I feel personally that I need to do it"",""'I have to finish this project' = my boss requires it, the deadline is tomorrow"",""In everyday speech, HAVE TO is much more common for external obligations"",""MUST is often too strong for casual conversation"",""The biggest trap: MUSTN'T vs DON'T HAVE TO"",""MUSTN'T = it is forbidden (proibido)"",""DON'T HAVE TO = it is not necessary (não precisa)"",""❌ You mustn't pay for the ticket (sounds like it's illegal to pay)"",""✅ You don't have to pay for the ticket (it's free - no need to pay)""],""explanation"":""This is one of the most common mistakes for Portuguese speakers! In Portuguese, 'não pode' can mean both 'you must not' (forbidden) and 'you don't have to' (not necessary). English separates these completely. MUSTN'T = forbidden. DON'T HAVE TO = not necessary.""}"
2,"WILL - Certainty, Promises, and Spontaneous Decisions",formula_table,Beginner,"All the ways to use WILL in English","{""formula"":""Subject + will + base verb"",""affirmative"":""I will call you tomorrow. It will rain."",""negative"":""I will not (won't) forget. She won't be late."",""question"":""Will you help me? Will it be sunny?"",""conjugations"":[{""person"":""Future action (100% certain)"",""aff"":""The sun will rise at 6:15"",""neg"":""It won't snow in July"",""ques"":""Will you be there?""},{""person"":""Promise"",""aff"":""I will always love you"",""neg"":""I will never forget""},{""person"":""Spontaneous decision"",""aff"":""The phone's ringing - I'll get it"",""neg"":""I won't answer""},{""person"":""Offer"",""aff"":""I'll carry those bags for you""}]}"
2,"WILL vs GOING TO - Predicting vs Planning",deep_dive,Intermediate,"Understanding the difference between WILL (prediction) and GOING TO (plan/evidence)","{""bullets"":[""WILL = prediction based on opinion, spontaneous decision, promise"",""GOING TO = plan made before speaking, prediction based on present evidence"",""'I think it will rain tomorrow' = opinion, guess"",""'Look at those dark clouds - it's going to rain' = evidence (you see the clouds)"",""'The phone is ringing - I'll get it' = spontaneous decision (just decided now)"",""'I'm going to call my mom later' = plan made before (already decided)"",""Promise: always WILL - 'I will never tell anyone'"",""For predictions without evidence, both are possible with slight nuance""],""explanation"":""This difference is subtle but important. WILL is for instant decisions, promises, and predictions based on what you think. GOING TO is for planned actions and predictions based on what you can see. In Brazilian Portuguese, both often translate to 'vou' which makes this difficult - pay attention to whether there's evidence or a pre-existing plan!""}"
2,"WOULD - Polite Offers, Habits, and Hypotheticals",formula_table,Intermediate,"All the ways to use WOULD in English","{""formula"":""Subject + would + base verb"",""affirmative"":""I would like some coffee. When I was young, I would play outside."",""negative"":""I wouldn't do that if I were you. She wouldn't say that."",""question"":""Would you like some tea? Would you mind closing the door?"",""conjugations"":[{""person"":""Polite offer/request"",""ques"":""Would you like help? / Would you mind waiting?""},{""person"":""Past habit"",""aff"":""We would visit grandma every Sunday"",""neg"":""I wouldn't eat vegetables as a child"",""ques"":""Would you play there often?""},{""person"":""Unreal conditional"",""aff"":""If I were rich, I would travel"",""neg"":""I wouldn't do that if I were you"",""ques"":""Would you go if you could?""},{""person"":""Reported speech"",""aff"":""He said he would come"",""neg"":""She said she wouldn't be late""}]}"
2,"WOULD for Hypotheticals - The Unreal Conditional",deep_dive,Intermediate,"Using WOULD to talk about imaginary situations","{""bullets"":[""Unreal conditional = IF + past simple, WOULD + base verb"",""The situation is NOT real - it's imaginary or impossible"",""'If I were rich, I would buy a yacht' (but I'm not rich)"",""'If I were you, I would apologise' (I can't be you - giving advice)"",""'What would you do if you won the lottery?' (imagining a future possibility)"",""Notice: we use WERE for all persons in the IF clause (even I/he/she)"",""'If I were...' not 'If I was...' (though some native speakers say 'was' in casual speech)"",""This is different from the first conditional (possible situations):"",""First conditional: 'If it rains, I will stay home' (possible, 50% chance)"",""Second conditional (unreal): 'If I won the lottery, I would travel' (unlikely, imaginary)""],""explanation"":""WOULD doesn't fit on the probability scale because it describes imaginary or habitual situations, not real predictions about the future. Think of WOULD as the past or imaginary version of WILL.""}"
2,"Permission and Politeness - The Politeness Ladder",formula_table,Intermediate,"How to ask for permission from casual to ultra-polite","{""formula"":""Politeness level determines which modal to use"",""affirmative"":""Can (40% casual) / Could (60% polite) / May (70% formal) / Would you mind (80% ultra-polite)"",""negative"":""Can't (direct refusal) / Couldn't (polite refusal) / May not (formal refusal)"",""question"":""Can I use your phone? / Could I leave early? / May I speak to the manager?"",""conjugations"":[{""person"":""Casual (friends, family)"",""aff"":""Can I borrow £5?"",""neg"":""You can't go"",""ques"":""Can I sit here?""},{""person"":""Polite (strangers, colleagues)"",""aff"":""Could I borrow £5?"",""neg"":""You couldn't possibly"",""ques"":""Could I have a moment?""},{""person"":""Formal (professional, official)"",""aff"":""May I borrow £5?"",""neg"":""You may not"",""ques"":""May I come in?""},{""person"":""Ultra-polite (very respectful)"",""aff"":""Would you mind if I borrowed £5?"",""ques"":""Would you mind if I sat here?""}]}"
2,"Advice - How Strongly to Recommend",usage_cases,Intermediate,"Choosing between COULD, SHOULD, and MUST for giving advice","{""usage1"":""COULD (40% strength) - gentle option, just a suggestion"",""example1a"":""You could try yoga for back pain"",""example1b"":""We could eat at that new restaurant"",""usage2"":""SHOULD (80% strength) - strong recommendation, expectation"",""example2a"":""You should see a dentist about that tooth"",""example2b"":""You should apologise to her"",""usage3"":""MUST (100% strength) - obligation, no choice, command"",""example3a"":""You must stop smoking - it's killing you"",""example3b"":""You must wear a helmet on this site"",""teacher_note"":""In Brazilian Portuguese, 'você poderia' (could), 'você deveria' (should), and 'você tem que' (must) follow the same strength pattern. Match the strength to the situation!""}"
3,"Modal Perfect - Talking About the Past",formula_table,Intermediate,"How to express past possibility, regret, and deduction using modal + have + past participle","{""formula"":""Modal + have + past participle (V3)"",""affirmative"":""I should have studied. She must have left."",""negative"":""I shouldn't have said that. They couldn't have known."",""question"":""Should I have called? Could she have forgotten?"",""conjugations"":[{""person"":""Regret / Past advice not followed"",""aff"":""I should have studied"",""neg"":""I shouldn't have eaten so much"",""ques"":""Should I have told her?""},{""person"":""Past ability not used"",""aff"":""We could have won"",""neg"":""We couldn't have beaten them"",""ques"":""Could they have escaped?""},{""person"":""Past weak possibility"",""aff"":""She might have missed the train"",""neg"":""He might not have seen the message"",""ques"":""Might she have taken the wrong bus?""},{""person"":""Strong past deduction (95%)"",""aff"":""He must have left early - his car is gone"",""neg"":""They can't have arrived yet - it's too early""}]}"
