id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip,image_url,description,audio_url,prompt,transcript,front_fields
,FL Driver Study,,multiple_choice,Bumper height cars 3500+,Advanced,"What is the maximum allowable bumper height for a passenger car weighing 3,500 lbs or more?",,,"27″ front, 29″ rear","24″ front, 26″ rear",30″ front and rear,,0,"Bumper height depends on vehicle weight. For cars ≥3,500 lbs, front max 27″, rear max 29″.\br[PT] A altura do para-choque depende do peso do veículo. Para carros ≥3.500 lbs, frente máx 27″, traseira máx 29″.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Fog lights,Beginner,When driving in fog you should use:,,,High beams,Low beams,Parking lights only,,1,Low beams reduce glare and reflect less off water droplets. High beams worsen visibility.\br[PT] Faróis baixos reduzem ofuscamento e refletem menos nas gotículas de água. Faróis altos pioram a visibilidade.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Golf cart age after Oct 2023,Intermediate,"What is the minimum age to operate a golf cart on a public road after October 1, 2023?",,,14,16 with a valid learner’s or driver license,18 with any ID,,1,Under 18 must have a learner’s or driver license. 18+ must have a government‑issued photo ID.\br[PT] Menores de 18 devem ter Permissão para Aprendiz ou CNH. Maiores de 18 devem ter documento oficial com foto.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,LSV speed limit,Intermediate,A low‑speed vehicle (LSV) may only be operated on roads with a posted speed limit of:,,,25 mph or less,35 mph or less,45 mph or less,,1,LSVs (top speed 21‑25 mph) are restricted to streets with a speed limit of 35 mph or less.\br[PT] VLV (velocidade máxima 21‑25 mph) são restritas a vias com limite de 35 mph ou menos.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Truck following distance,Advanced,What is the minimum following distance for a truck towing another vehicle (except in cities)?,,,200 feet,300 feet,500 feet,,1,A truck or vehicle towing another must not follow within 300 feet of another truck or towed vehicle.\br[PT] Um caminhão ou veículo rebocando outro não pode seguir a menos de 300 pés de outro caminhão ou veículo rebocado.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Dark signal outage,Beginner,"If a traffic signal is completely dark (power outage), you must:",,,Treat as a 4‑way stop,Proceed with caution,Turn around,,0,"When signals are out, treat the intersection as a 4‑way stop. First to arrive goes first; if simultaneous, left yields to right.\br[PT] Quando os sinais estão apagados, trate o cruzamento como uma parada de 4 vias. O primeiro a chegar passa primeiro; se simultâneo, o da esquerda cede ao da direita.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Rural mailbox parking,Advanced,A driver may not park within how many feet of a rural mailbox on a state highway between 8 am and 6 pm?,,,15 feet,30 feet,50 feet,,1,Parking within 30 feet of a rural mailbox is prohibited during those hours to allow mail delivery.\br[PT] Estacionar a menos de 30 pés de uma caixa de correio rural é proibido nesse horário para permitir a entrega de correspondência.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Litter over 15 pounds,Intermediate,What is the penalty for littering more than 15 pounds from a vehicle?,,,$100 fine,"First‑degree misdemeanor, up to $1.000 fine and 3 points","No points, only fine",,1,"More than 15 pounds = first‑degree misdemeanor, fine up to $1.000, 3 points, and possible litter pickup.\br[PT] Mais de 15 libras = contravenção de primeiro grau, multa até $1.000, 3 pontos, e possível coleta de lixo.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Child restraint driver responsibility,Beginner,"If you are the driver and a passenger under 18 is not wearing a safety belt, who receives the citation?",,,The passenger,The driver,The parent,,1,The driver is responsible for all passengers under 18. Passengers 18+ are cited individually.\br[PT] O motorista é responsável por todos os passageiros menores de 18. Passageiros com 18+ são multados individualmente.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,School bus passing fine (children side),Intermediate,What is the minimum fine for illegally passing a stopped school bus on the side where children enter/exit?,,,$265,$465,$1.000,,1,Minimum fine $465 plus 4 points and mandatory BDI course. $265 for passing on the opposite side.\br[PT] Multa mínima $465 mais 4 pontos e curso BDI obrigatório. $265 para ultrapassagem pelo lado oposto.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Crash report deadline,Advanced,"After a crash that results in death or serious injury, you must make a written report to FLHSMV within:",,,24 hours,10 days,30 days,,1,"If no law enforcement report is made, you must file a written report to FLHSMV within 10 days.\br[PT] Se nenhum relatório policial for feito, você deve apresentar um relatório por escrito ao FLHSMV em até 10 dias.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Flashing yellow arrow,Intermediate,What does a flashing yellow arrow at a traffic light mean?,,,Stop,"Turns allowed in direction of arrow, but yield to oncoming traffic",Proceed straight only,,1,"Flashing yellow arrow means you may turn, but oncoming traffic has a green light. You must yield.\br[PT] Seta amarela piscando significa que você pode virar, mas o tráfego em sentido oposto tem sinal verde. Você deve ceder passagem.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Red reflectors meaning,Beginner,"If you see red reflectors on lane lines facing you, what does that mean?",,,You are driving the wrong way,Construction ahead,Lane is closed,,0,Red reflectors always face traffic going the wrong direction. Turn around immediately.\br[PT] Refletores vermelhos sempre ficam voltados para o tráfego que vai na direção errada. Vire imediatamente.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Learner’s license minimum age,Beginner,What is the minimum age to obtain a learner’s license in Florida?,,,14,15,16,,1,You may apply at age 15 after completing the TLSAE course and passing vision/knowledge exams.\br[PT] Você pode solicitar aos 15 anos após concluir o curso TLSAE e passar nos exames de vista e conhecimento.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Required driving hours for full license,Intermediate,How many hours of supervised driving (including 10 at night) are required before a learner’s license holder can get a Class E license?,,,30 hours,40 hours,50 hours,,2,"A parent or guardian must certify at least 50 hours, with 10 of those at night.\br[PT] Um pai ou responsável deve certificar pelo menos 50 horas, sendo 10 delas à noite.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,First license fee,Beginner,What is the initial fee for a first Florida driver license?,,,$25,$48,$60,,1,The initial license fee is $48. Learner’s license and renewals are also $48.\br[PT] A taxa inicial da licença é $48. A Permissão para Aprendiz e as renovações também são $48.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Non‑resident employment license deadline,Intermediate,A non‑resident who accepts employment in Florida must obtain a Florida driver license within:,,,10 days,30 days,60 days,,1,Within 30 days after beginning employment or enrolling a child in a Florida public school.\br[PT] Dentro de 30 dias após iniciar o emprego ou matricular uma criança em uma escola pública da Flórida.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Driving test not required maneuver,Intermediate,Which of the following is NOT a required maneuver on the driving skills test?,,,Parallel parking,Backing up 50 feet,Three‑point turn,,0,"The test includes backing up 50 feet, three‑point turn, straight‑in parking, stopping quickly, and obeying signs – but not parallel parking.\br[PT] O teste inclui ré por 50 pés, conversão em três tempos, estacionamento reto, parada rápida e obediência a placas – mas não estacionamento paralelo.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Backing up test restriction,Intermediate,"On the driving skills test, when backing up you may NOT use:",,,Your side mirrors,Your rear‑view mirror or backup camera,Hand signals,,1,The examiner requires you to look to the rear. Using the rear‑view mirror or backup camera is prohibited.\br[PT] O examinador exige que você olhe para trás. Usar o espelho retrovisor ou a câmera de ré é proibido.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Restriction Code B meaning,Beginner,What restriction code means the driver must wear corrective lenses?,,,Code B,Code C,Code F,,0,Restriction Code B = Corrective lenses. Code C = Hand controls. Code F = Outside mirror.\br[PT] Código de restrição B = Lentes corretivas. Código C = Controles manuais. Código F = Espelho externo.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Leaving scene points,Intermediate,How many points are added for leaving the scene of a crash resulting in property damage over $50?,,,3 points,4 points,6 points,,2,Leaving the scene with property damage over $50 adds 6 points – same as a crash from speeding.\br[PT] Deixar o local com danos materiais acima de $50 adiciona 6 pontos – igual a um acidente por excesso de velocidade.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Sharrow meaning,Intermediate,What does a “sharrow” pavement marking indicate?,,,Bike lane ends,Shared lane – bicyclists may use full lane,No passing,,1,Sharrows alert motorists that bicyclists may use the entire lane and indicate where cyclists should ride.\br[PT] Sharrows alertam os motoristas de que ciclistas podem usar toda a faixa e indicam onde os ciclistas devem andar.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Bike lane crossing for right turn,Intermediate,A motor vehicle may enter a bicycle lane:,,,Never,"Only for up to 200 feet before a right turn, after yielding to bicyclists",At any time if no bicyclist is present,,1,"You may cross a bike lane to turn right, but only when no bicyclists are present and you yield.\br[PT] Você pode cruzar uma ciclofaixa para virar à direita, mas somente quando não houver ciclistas e você ceder passagem.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Funeral procession right‑of‑way,Intermediate,"When a funeral procession enters an intersection, the following vehicles may:",,,Follow through regardless of traffic signals,Stop and wait for green,Only proceed if they have their own green light,,0,"Once the lead vehicle enters, all vehicles in the procession may follow through, even on red. Headlights or hazard lights must be on.\br[PT] Uma vez que o veículo líder entre, todos os veículos do cortejo podem continuar, mesmo no vermelho. Faróis ou pisca‑alertas devem estar ligados.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,50+ over first offense fine,Beginner,What is the minimum fine for a first offense of exceeding the speed limit by more than 50 mph?,,,$500,$1.000,"$2,500",,1,"First offense fine up to $1.000; second offense up to $2,500. Fines are doubled in school/work zones.\br[PT] Primeira infração multa até $1.000; segunda até $2.500. Multas dobram em zonas escolares/de obra.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Driver 80+ renewal requirement,Intermediate,A driver 80 years or older renewing their license must:,,,Take the knowledge exam again,Pass a vision exam (can be done by their own doctor),Take a driving skills test,,1,Drivers 80+ must pass a vision exam. It can be done at a service center or by a licensed practitioner using Form HSMV 72119.\br[PT] Motoristas com 80+ devem passar por exame de vista. Pode ser feito em um centro de atendimento ou por um profissional licenciado usando o Formulário HSMV 72119.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,DUI with minor fine,Advanced,What is the maximum fine for a first DUI conviction with a minor in the vehicle?,,,$1.000,$2.000,$5.000,,"one,1","If a minor is in the vehicle, the fine is not less than $1.000 and not more than $2.000 – same as BAC .15+.\br[PT] Se houver um menor no veículo, a multa não é inferior a $1.000 nem superior a $2.000 – igual a TAS .15+.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,DUI refusal suspension,Beginner,,,A driver who refuses to take a breath test after a DUI arrest will have their license suspended for ______ year(s).,,,,,"one,1",,Refusal = automatic 1‑year suspension.\br[PT] Recusa = suspensão automática de 1 ano.,,,,,,,,,,,
,FL Driver Study,,gap_fill,Zero tolerance BAC limit,Beginner,,,"For a driver under 21, any BAC of ______ or higher results in a six‑month suspension.",,,,,".02,0.02",Zero Tolerance law.\br[PT] Lei Tolerância Zero.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,DUI school hours first,Beginner,,,A first DUI conviction requires ______ hours of DUI school.,,,,,"12,doze",First offense = 12 hours. Second or third = 21 hours.\br[PT] Primeira infração = 12 horas. Segunda ou terceira = 21 horas.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Texting school zone extra points,Intermediate,,,Texting while driving in a school zone adds an additional ______ points to the primary offense.,,,,,"3,três",Texting = 3 points. School zone adds 3 more.\br[PT] Digitar = 3 pontos. Zona escolar adiciona mais 3.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Dark signal treatment,Intermediate,,,"If a traffic light is completely dark, treat the intersection as a ______-way stop.",,,,,"four,4",Power outage = all directions stop.\br[PT] Falta de energia = parada em todas as direções.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Minor 6 points restriction type,Intermediate,,,A driver under 18 who accumulates 6 or more points in 12 months is restricted to driving for ______ purposes only for one year.,,,,,business,“Business Purposes ONLY” restriction.\br[PT] Restrição “APENAS Finalidades Comerciais”.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,School bus two‑lane stop direction,Intermediate,,,"On a two‑lane road, when a school bus stops with red lights flashing, vehicles in ______ directions must stop.",,,,,both,"Unless divided by a raised barrier, both directions stop.\br[PT] A menos que haja uma barreira elevada, as duas direções param.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Following distance seconds,Beginner,,,The minimum following distance in normal conditions is ______ seconds.,,,,,"four,4",Use the 4‑second rule.\br[PT] Use a regra dos 4 segundos.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,LSV speed limit max,Intermediate,,,A low‑speed vehicle may only be operated on roads with a posted speed limit of ______ mph or less.,,,,,"35,trinta e cinco","LSV top speed 21‑25 mph, restricted to 35 mph roads.\br[PT] VLV velocidade máxima 21‑25 mph, restrita a vias de 35 mph.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Parking uphill without curb,Intermediate,,,"When parking uphill without a curb, turn your wheels to the ______.",,,,,right,"So the car rolls off the road, not into traffic.\br[PT] Para que o carro role para fora da pista, não para o tráfego.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,School zone sign shape,Beginner,,,A ______-shaped sign indicates a school zone.,,,,,pentagon,Pentagon = school zone; round = railroad; diamond = warning.\br[PT] Pentágono = zona escolar; redondo = ferrovia; losango = advertência.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Tire tread depth 32nds,Beginner,,,A tire must have a minimum tread depth of ______/32 inch.,,,,,2,2/32 inch is legal minimum; 3/32 recommended.\br[PT] 2/32 polegada é o mínimo legal; 3/32 recomendado.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,DUI revocation minimum days,Intermediate,,,A first DUI conviction results in license revocation for a minimum of ______ days.,,,,,"180,cento e oitenta",Minimum 180 days revocation.\br[PT] Revogação mínima de 180 dias.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,First license fee dollars,Beginner,,,The initial fee for a first Florida driver license is $______.,,,,,"48,quarenta e oito","$48 for first license, learner’s, and renewals.\br[PT] $48 para primeira licença, permissão e renovações.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Non‑resident employment days,Beginner,,,A non‑resident who accepts employment in Florida must obtain a Florida license within ______ days.,,,,,"30,trinta",30 days after starting work or enrolling a child.\br[PT] 30 dias após iniciar o trabalho ou matricular uma criança.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Backing up test forbidden mirror,Intermediate,,,"On the driving skills test, when backing up you may not use the rear‑view mirror or ______ camera.",,,,,"backup,rear‑view",You must look directly to the rear.\br[PT] Você deve olhar diretamente para trás.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Restriction code B,Intermediate,,,Restriction Code B means the driver must wear ______ lenses.,,,,,corrective,Code B = corrective lenses (glasses or contacts).\br[PT] Código B = lentes corretivas (óculos ou contatos).,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Leaving scene property damage points,Advanced,,,Leaving the scene of a crash with property damage over $50 adds ______ points.,,,,,"6,seis",6 points for leaving the scene.\br[PT] 6 pontos por deixar o local.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Driver 80+ renewal exam,Intermediate,,,A driver 80 years or older must pass a ______ exam to renew their license.,,,,,vision,Vision exam required; can be done by their own doctor.\br[PT] Exame de vista obrigatório; pode ser feito pelo seu próprio médico.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Second offense 50+ over fine,Advanced,,,The fine for a second offense of exceeding the speed limit by more than 50 mph is up to $______.,,,,,"2500,2,500","Second offense up to $2,500.\br[PT] Segunda infração até $2.500.",,,,,,,,,,,,title
,FL Driver Study,,usage_cases,Move Over Law (HB 425 Expansion),Intermediate,,"The Move Over Law requires drivers to vacate the lane closest to a stopped emergency, service, tow truck, sanitation, utility, or disabled vehicle with warning lights, flares, or visibly present persons.",,,,,,,"If you cannot move over safely on a multi‑lane road, slow down to 20 mph below the posted speed limit. On a two‑lane road with speed limit 20 mph or less, slow to 5 mph.",Example: A disabled car on the shoulder has its hazard lights on. You must change lanes away from it or slow down.,Example: A sanitation truck is stopped with amber lights flashing. Move over if possible.,"Example: On a two‑lane road with 65 mph limit, reduce speed to 45 mph if you cannot move over.",,"The law now also protects disabled vehicles with warning lights, flares, or people visibly present.\br[PT] A lei agora também protege veículos defeituosos com luzes de advertência, sinalizadores ou pessoas visivelmente presentes.",uploads/images/florida-signs/move-over-law.jpg,,,,,"title,image_url",
,FL Driver Study,,usage_cases,No‑Fault Law (PIP & PDL),Intermediate,,"Florida's No‑Fault Law requires every vehicle owner to carry Personal Injury Protection (PIP) and Property Damage Liability (PDL), each with minimum $10.000 coverage.",,,,,,,PIP pays for your own injuries regardless of fault. PDL pays for damage you cause to others' property.,You must show proof of Florida insurance when registering a vehicle and carry the insurance ID card (or electronic proof) while driving.,Example: You are hit by another driver. Your PIP covers your medical bills up to $10.000 even if you were at fault.,Example: You back into a neighbor's fence. Your PDL pays for the damage up to $10.000.,,"If you fail to maintain insurance, your license and registration can be suspended for up to 3 years. Reinstatement fees range from $150 to $500.\br[PT] Se você não mantiver o seguro, sua licença e registro podem ser suspensos por até 3 anos. As taxas de reintegração variam de $150 a $500.",,,,,,title,
,FL Driver Study,,usage_cases,DUI Penalties & Zero Tolerance,Advanced,,"For first DUI conviction (BAC .08 or higher): fine $500‑$1.000, license revocation minimum 180 days, 50 hours community service, 12‑hour DUI school.",,,,,,,"If BAC .15+ or minor in vehicle: fine $1.000‑$2.000, jail up to 9 months, ignition interlock for 6 months.",Zero Tolerance: Drivers under 21 with BAC .02+ get 6‑month suspension. BAC .05+ requires substance abuse course.,Example: An 18‑year‑old has two beers and blows .03. License suspended for 6 months.,"Example: A first‑time DUI with BAC .10 results in $500 fine, 180 days revocation, 50 hours community service, and 12 hours of DUI school.",,A DUI conviction stays on your driving record for 75 years. Refusing a breath test = automatic 1‑year suspension.\br[PT] Uma condenação por DUI permanece em sua ficha de motorista por 75 anos. Recusar o teste do bafômetro = suspensão automática de 1 ano.,,,,,,title,
,FL Driver Study,,usage_cases,School Bus Passing Rules,Intermediate,,"On a two‑lane road, all traffic in both directions must stop for a stopped school bus with red lights flashing and stop sign extended.",,,,,,,"If the highway is divided by a raised barrier or unpaved median at least 5 feet wide, only traffic going the same direction must stop. Painted lines are NOT barriers.","Penalties: Minimum fine $265 ($465 if passing on the side where children enter/exit), 4 points, and mandatory Basic Driver Improvement course.","If passing results in serious injury or death: $1,500 fine, 6 points, 120 hours community service in a trauma center, license suspension minimum 1 year.",Example: You are on a 4‑lane road with a grass median. A school bus stops on the opposite side. You do NOT need to stop.,,Stop and remain stopped until the bus retracts its stop signal and children are clear. Never pass a stopped school bus.\br[PT] Pare e permaneça parado até o ônibus recolher seu sinal de parada e as crianças estiverem seguras. Nunca ultrapasse um ônibus escolar parado.,uploads/images/florida-signs/school-bus-stop-sign.jpg,,,,,"title,image_url",
,FL Driver Study,,usage_cases,Implied Consent Law,Intermediate,,"By signing a Florida driver license, you automatically consent to a breath, blood, or urine test if lawfully arrested for DUI.",,,,,,,Refusal results in automatic 1‑year license suspension (first refusal). Second refusal: 18‑month suspension and a first‑degree misdemeanor.,"In cases involving death or serious injury, blood may be drawn without consent.","Example: An officer arrests you for DUI and asks for a breath test. If you refuse, your license is suspended for one year immediately.",Example: A second refusal within a few years leads to 18 months suspension and possible jail time.,,Refusing the test does NOT avoid DUI charges; it adds additional penalties.\br[PT] Recusar o teste NÃO evita as acusações de DUI; adiciona penalidades adicionais.,,,,,,title,
,FL Driver Study,,usage_cases,Right‑of‑Way at Intersections,Intermediate,,"At a 4‑way stop, the first vehicle to arrive goes first. If two arrive at the same time, the driver on the left yields to the driver on the right.",,,,,,,"At a two‑way stop, the vehicle on the through road has right‑of‑way. Turning vehicles must yield to vehicles going straight.","Always yield to pedestrians and bicyclists in crosswalks. At an open intersection (no signs/signals), yield to vehicles already in the intersection and to vehicles on your right.",Example: You and another car arrive at a 4‑way stop simultaneously. You are on the left. You must yield to the car on your right.,Example: You want to turn left at a two‑way stop. A car coming from the opposite direction is going straight. You must yield.,,"Even if you have right‑of‑way, you must do everything possible to avoid a crash. Do not assume other drivers will yield.\br[PT] Mesmo que você tenha o direito de passagem, você deve fazer todo o possível para evitar um acidente. Não presuma que os outros motoristas vão ceder.",uploads/images/florida-signs/4-way-stop.jpg,,,,,"title,image_url",
,FL Driver Study,,usage_cases,Following Distance (4‑Second Rule),Beginner,,Keep a minimum following distance of four seconds under normal conditions.,,,,,,,"Method: Pick a stationary marker (sign, pole). When the rear of the vehicle ahead passes it, count “one‑thousand‑one, one‑thousand‑two, one‑thousand‑three, one‑thousand‑four.” If you reach the marker before finishing, you are too close.","Increase following distance in rain, fog, heavy traffic, when towing a trailer, or when following motorcycles and large trucks.",Example: You are driving at 50 mph on a dry highway. Count four seconds to the vehicle ahead – that gives you about 268 feet of stopping distance.,Example: It starts raining heavily. Increase your following distance to six or more seconds.,,Rear‑end collisions are almost always caused by following too closely. The 4‑second rule works at any speed.\br[PT] Colisões traseiras são quase sempre causadas por seguir muito próximo. A regra dos 4 segundos funciona em qualquer velocidade.,,,,,,title,
,FL Driver Study,,deep_dive,Point System Suspension Thresholds,Intermediate,,12 points in 12 months = 30‑day suspension; 18 points in 18 months = 3‑month suspension; 24 points in 36 months = 1‑year suspension.,,,,,,,"Points are assigned for moving violations (speeding, red light, etc.). Out‑of‑state convictions add the same points.","Example: A driver gets 6 points for a crash, then 4 points for running a red light, then 3 points for speeding – total 13 points in 10 months → 30‑day suspension.",Example: A driver under 18 with 6 points is restricted to business purposes only for one year.,,,Points remain on your record for at least two years. Accumulating points can also increase insurance rates.\br[PT] Os pontos permanecem em seu registro por pelo menos dois anos. O acúmulo de pontos também pode aumentar as taxas de seguro.,,,,,,title,
,FL Driver Study,,deep_dive,DUI Penalties – Second Offense,Advanced,,"Fine $1.000‑$2.000 ($2.000‑$4.000 if BAC .15+ or minor in vehicle), jail up to 9 months, license revocation minimum 180 days (5 years if second within 5 years), 21‑hour DUI school, ignition interlock at least 1 year.",,,,,,,Second offense within 5 years triggers a mandatory 5‑year revocation.,"Example: A second DUI within 5 years: 5‑year revocation, jail up to 9 months, and interlock.",,,,"A DUI conviction stays on your record for 75 years. Even after revocation ends, you must install an ignition interlock device.\br[PT] Uma condenação por DUI permanece em seu registro por 75 anos. Mesmo após o fim da revogação, você deve instalar um dispositivo de trava de ignição.",,,,,,title,
